Eastman Chemical Price to Free Cash Flow Ratio Historical Data,Eastman Chemical Price to Free Cash Flow Ratio Historical Data,Eastman Chemical Price to Free Cash Flow Ratio Historical Data,Eastman Chemical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,89.88,,15.4
2024-12-31,91.32,$5.84,15.65
2024-09-30,110.99,$5.05,21.96
2024-06-30,96.39,$5.05,19.08
2024-03-31,97.81,$4.35,22.48
2023-12-31,86.89,$4.57,19.0
2023-09-30,73.54,$4.36,16.88
2023-06-30,79.46,$2.78,28.63
2023-03-31,79.29,$2.18,36.42
2022-12-31,75.84,$2.91,26.02
2022-09-30,65.56,$2.16,30.32
2022-06-30,82.08,$4.48,18.33
2022-03-31,101.66,$5.98,17.0
2021-12-31,108.9,$7.59,14.34
2021-09-30,90.15,$8.35,10.8
2021-06-30,103.79,$7.95,13.06
2021-03-31,97.34,$8.11,12.0
2020-12-31,88.13,$7.76,11.36
2020-09-30,68.18,$9.59,7.11
2020-06-30,60.29,$9.16,6.58
2020-03-31,39.95,$9.05,4.41
2019-12-31,67.02,$7.75,8.65
2019-09-30,61.91,$7.98,7.75
2019-06-30,64.73,$7.57,8.55
2019-03-31,62.57,$7.47,8.37
2018-12-31,59.82,$7.14,8.38
2018-09-30,77.65,$6.02,12.9
2018-06-30,80.62,$6.73,11.97
2018-03-31,84.71,$6.41,13.21
2017-12-31,73.95,$7.00,10.57
2017-09-30,71.78,$5.15,13.95
2017-06-30,66.23,$4.43,14.96
2017-03-31,63.33,$5.20,12.17
2016-12-31,58.56,$5.39,10.86
2016-09-30,52.35,$6.51,8.05
2016-06-30,52.15,$6.08,8.58
2016-03-31,55.13,$6.36,8.67
2015-12-31,51.19,$6.52,7.86
2015-09-30,48.76,$6.15,7.93
2015-06-30,61.29,$7.48,8.19
2015-03-31,51.61,$6.44,8.01
2014-12-31,56.22,$5.65,9.96
2014-09-30,59.63,$5.78,10.32
2014-06-30,64.12,$4.99,12.84
2014-03-31,63.03,$4.73,13.32
2013-12-31,58.76,$5.20,11.3
2013-09-30,56.46,$5.00,11.29
2013-06-30,50.55,$4.49,11.26
2013-03-31,50.22,$4.35,11.54
2012-12-31,48.72,$4.41,11.04
2012-09-30,40.62,$4.10,9.91
2012-06-30,35.73,$3.24,11.02
2012-03-31,36.45,$-1.93,0.0
2011-12-31,27.41,$1.11,24.67
2011-09-30,23.88,$0.64,37.09
2011-06-30,35.31,$1.83,19.28
2011-03-31,34.2,$6.50,5.26
2010-12-31,28.81,$2.20,13.1
2010-09-30,25.21,$1.44,17.55
2010-06-30,18.05,$1.48,12.19
2010-03-31,21.39,$1.67,12.77
2009-12-31,20.09,$3.20,6.28
