Materion Price to Free Cash Flow Ratio Historical Data,Materion Price to Free Cash Flow Ratio Historical Data,Materion Price to Free Cash Flow Ratio Historical Data,Materion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.32,,87.65
2024-12-31,98.88,$0.97,101.58
2024-09-30,111.73,$-0.18,0.0
2024-06-30,107.88,$-0.40,0.0
2024-03-31,131.29,$-0.40,0.0
2023-12-31,129.55,$1.65,78.48
2023-09-30,101.34,$2.80,36.24
2023-06-30,113.42,$3.22,35.24
2023-03-31,115.06,$3.89,29.57
2022-12-31,86.7,$1.89,45.92
2022-09-30,79.14,$0.27,293.23
2022-06-30,72.84,$-0.72,0.0
2022-03-31,84.58,$-1.44,0.0
2021-12-31,90.42,$-0.57,0.0
2021-09-30,67.42,$-1.73,0.0
2021-06-30,73.89,$0.79,93.04
2021-03-31,64.85,$1.18,54.95
2020-12-31,62.28,$1.64,37.95
2020-09-30,50.74,$3.24,15.64
2020-06-30,59.85,$3.06,19.55
2020-03-31,34.0,$4.35,7.81
2019-12-31,57.62,$3.63,15.86
2019-09-30,59.36,$3.05,19.44
2019-06-30,65.48,$2.58,25.42
2019-03-31,55.01,$2.16,25.43
2018-12-31,43.29,$2.38,18.17
2018-09-30,58.11,$2.54,22.88
2018-06-30,51.93,$3.21,16.18
2018-03-31,48.86,$2.43,20.12
2017-12-31,46.42,$2.08,22.3
2017-09-30,41.14,$2.55,16.14
2017-06-30,35.56,$1.74,20.41
2017-03-31,31.81,$2.04,15.57
2016-12-31,37.46,$2.10,17.84
2016-09-30,28.96,$2.42,11.97
2016-06-30,23.28,$2.62,8.89
2016-03-31,24.79,$2.50,9.93
2015-12-31,26.12,$3.02,8.66
2015-09-30,27.92,$2.45,11.4
2015-06-30,32.7,$2.39,13.67
2015-03-31,35.56,$2.34,15.2
2014-12-31,32.52,$1.63,19.91
2014-09-30,28.25,$1.61,17.58
2014-06-30,33.99,$1.51,22.52
2014-03-31,31.1,$1.55,20.1
2013-12-31,28.19,$2.30,12.28
2013-09-30,29.22,$2.69,10.85
2013-06-30,24.63,$1.77,13.89
2013-03-31,25.84,$1.27,20.34
2012-12-31,23.31,$0.22,106.34
2012-09-30,21.44,$1.27,16.92
2012-06-30,20.67,$0.95,21.78
2012-03-31,25.7,$1.01,25.53
2011-12-31,21.72,$1.38,15.72
2011-09-30,20.29,$-1.09,0.0
2011-06-30,33.07,$0.78,42.21
2011-03-31,36.5,$-0.31,0.0
2010-12-31,34.57,$-0.54,0.0
2010-09-30,25.44,$-0.77,0.0
2010-06-30,17.87,$-2.11,0.0
2010-03-31,20.19,$-0.54,0.0
2009-12-31,16.59,$-0.13,0.0
