ECD Automotive Design Price to Free Cash Flow Ratio Historical Data,ECD Automotive Design Price to Free Cash Flow Ratio Historical Data,ECD Automotive Design Price to Free Cash Flow Ratio Historical Data,ECD Automotive Design Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.71,,0.0
2024-06-30,1.21,$-0.07,0.0
2024-03-31,0.94,$-0.08,0.0
2023-12-31,1.23,0,0.0
