GRAVITY Price to Free Cash Flow Ratio Historical Data,GRAVITY Price to Free Cash Flow Ratio Historical Data,GRAVITY Price to Free Cash Flow Ratio Historical Data,GRAVITY Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.87,,3.93
2024-09-30,59.28,$14.97,3.96
2024-06-30,80.75,$14.97,5.4
2024-03-31,75.89,$14.97,5.07
2023-12-31,69.56,$14.97,4.65
2023-09-30,69.0,$9.83,7.02
2023-06-30,70.19,$9.83,7.14
2023-03-31,57.8,$9.83,5.88
2022-12-31,40.32,$9.83,4.1
2022-09-30,46.82,$9.38,4.99
2022-06-30,50.95,$9.38,5.43
2022-03-31,50.62,$9.38,5.39
2021-12-31,68.12,$9.38,7.26
2021-09-30,90.46,$7.92,11.42
2021-06-30,108.32,$7.92,13.68
2021-03-31,115.0,$7.92,14.52
2020-12-31,180.74,$7.92,22.82
2020-09-30,143.35,$2.93,48.91
2020-06-30,55.2,$2.93,18.83
2020-03-31,29.97,$2.93,10.23
2019-12-31,37.4,$2.93,12.76
2019-09-30,33.6,0,0.0
2019-06-30,46.15,$-3.27,0.0
2019-03-31,64.43,0,0.0
2018-09-30,17.9,0,0.0
2018-06-30,29.21,0,0.0
2017-12-31,47.25,$3.27,14.45
2017-09-30,15.73,$0.27,58.15
2017-06-30,9.08,$0.27,33.57
2017-03-31,10.42,$0.27,38.52
2016-12-31,5.28,$0.27,19.5
2016-09-30,2.55,$-0.78,0.0
2016-06-30,2.35,$-0.78,0.0
2016-03-31,1.54,$-0.78,0.0
2015-12-31,1.58,$-0.78,0.0
2015-09-30,1.8,$5.80,0.31
2015-06-30,1.83,$5.80,0.31
2015-03-31,1.86,$5.80,0.32
2014-12-31,2.4,$5.80,0.41
2014-09-30,3.36,$-0.31,0.0
2014-06-30,3.2,$-0.31,0.0
2014-03-31,4.0,$-0.31,0.0
2013-12-31,3.68,$-0.31,0.0
2013-09-30,4.49,$0.67,6.73
2013-06-30,4.68,$0.67,7.01
2013-03-31,5.2,$0.67,7.79
2012-12-31,5.32,$0.67,7.97
2012-09-30,5.28,$-0.62,0.0
2012-06-30,7.0,$-0.62,0.0
2012-03-31,11.0,$-0.62,0.0
2011-12-31,5.8,$-0.62,0.0
2011-09-30,5.12,$0.77,6.63
2011-06-30,6.24,$0.77,8.09
2011-03-31,7.68,$0.77,9.95
2010-12-31,6.84,$0.77,8.86
2010-09-30,6.0,$2.79,2.15
2010-06-30,5.76,$2.79,2.07
2010-03-31,7.28,$2.79,2.61
2009-12-31,6.52,$2.79,2.34
