Universal Security Instruments Price to Free Cash Flow Ratio Historical Data,Universal Security Instruments Price to Free Cash Flow Ratio Historical Data,Universal Security Instruments Price to Free Cash Flow Ratio Historical Data,Universal Security Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.82,,0.0
2024-12-31,2.37,$-0.16,0.0
2024-09-30,1.16,$-1.44,0.0
2024-06-30,1.61,$-0.33,0.0
2024-03-31,1.59,$0.26,6.07
2023-12-31,1.66,$0.59,2.8
2023-09-30,2.4,$1.09,2.2
2023-06-30,2.36,$0.97,2.45
2023-03-31,2.32,$0.65,3.6
2022-12-31,2.03,$0.26,7.84
2022-09-30,3.86,$0.06,60.5
2022-06-30,3.62,$-0.96,0.0
2022-03-31,4.25,$-0.80,0.0
2021-12-31,3.4,$-1.10,0.0
2021-09-30,5.54,$-0.53,0.0
2021-06-30,8.4,$0.19,43.7
2021-03-31,6.75,$0.60,11.25
2020-12-31,5.01,$0.66,7.59
2020-09-30,1.9,$-0.04,0.0
2020-06-30,0.79,$0.32,2.45
2020-03-31,0.38,$0.00,0.0
2019-12-31,0.62,$0.09,6.65
2019-09-30,0.85,$0.17,5.08
2019-06-30,1.22,$-0.15,0.0
2019-03-31,1.34,$0.00,0.0
2018-12-31,1.06,$-0.02,0.0
2018-09-30,1.2,$-0.32,0.0
2018-06-30,1.15,$0.15,7.51
2018-03-31,1.41,$0.22,6.29
2017-12-31,1.7,$-0.34,0.0
2017-09-30,1.75,$-0.16,0.0
2017-06-30,2.8,$-0.83,0.0
2017-03-31,2.95,$-0.93,0.0
2016-12-31,3.9,$0.33,11.86
2016-09-30,3.8,$0.06,62.5
2016-06-30,3.55,$0.14,25.67
2016-03-31,4.12,$-0.36,0.0
2015-12-31,4.48,$-1.29,0.0
2015-09-30,5.5,$-1.57,0.0
2015-06-30,6.04,$-1.35,0.0
2015-03-31,5.73,$-0.59,0.0
2014-12-31,6.0,$-0.21,0.0
2014-09-30,4.59,$0.70,6.6
2014-06-30,4.55,$0.45,10.11
2014-03-31,4.47,$-0.36,0.0
2013-12-31,4.33,$-0.55,0.0
2013-09-30,4.9,$-0.28,0.0
2013-06-30,5.4,$-0.62,0.0
2013-03-31,4.35,$-0.35,0.0
2012-12-31,4.35,$-0.88,0.0
2012-09-30,4.4,$-1.40,0.0
2012-06-30,5.09,$-1.14,0.0
2012-03-31,5.38,$-1.61,0.0
2011-12-31,5.28,$-2.63,0.0
2011-09-30,5.49,$0.21,25.73
2011-06-30,6.85,$0.70,9.79
2011-03-31,7.56,$1.62,4.68
2010-12-31,7.44,$1.96,3.8
2010-09-30,6.13,$-0.03,0.0
2010-06-30,5.95,$0.42,14.23
2010-03-31,6.41,$0.43,15.03
2009-12-31,5.25,$0.66,7.96
