Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data,Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data,Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data,Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.33,,18.99
2024-12-31,17.32,$0.91,18.98
2024-09-30,18.31,$0.57,31.98
2024-06-30,14.87,$1.00,14.95
2024-03-31,13.97,$1.13,12.41
2023-12-31,13.21,$1.65,7.99
2023-09-30,12.63,$2.13,5.93
2023-06-30,10.41,$1.67,6.23
2023-03-31,9.9,$1.67,5.93
2022-12-31,10.47,$1.11,9.43
2022-09-30,10.77,$1.18,9.11
2022-06-30,11.26,$1.51,7.44
2022-03-31,11.73,$1.42,8.24
2021-12-31,10.42,$1.44,7.25
2021-09-30,11.1,$1.22,9.12
2021-06-30,13.47,$1.15,11.67
2021-03-31,12.63,$1.26,10.03
2020-12-31,12.43,$1.12,11.14
2020-09-30,9.69,$1.08,8.94
2020-06-30,9.94,$0.86,11.53
2020-03-31,7.34,$3.02,2.43
2019-12-31,14.04,$3.32,4.23
2019-09-30,14.81,$3.75,3.95
2019-06-30,12.44,$3.87,3.22
2019-03-31,12.02,$3.27,3.67
2018-12-31,9.95,$2.54,3.92
2018-09-30,13.65,$3.37,4.05
2018-06-30,12.58,$-0.56,0.0
2018-03-31,9.98,$-2.22,0.0
2017-12-31,10.33,$-1.33,0.0
2017-09-30,11.71,$-2.78,0.0
2017-06-30,12.64,$-0.08,0.0
2017-03-31,14.39,$1.92,7.51
2016-12-31,12.38,$1.82,6.79
2016-09-30,12.5,$1.07,11.65
2016-06-30,10.07,$1.71,5.9
2016-03-31,9.61,$-5.10,0.0
2015-12-31,9.42,$-5.07,0.0
2015-09-30,10.56,$-4.95,0.0
2015-06-30,11.55,$-16.23,0.0
2015-03-31,14.66,$-10.92,0.0
2014-12-31,13.26,$-14.08,0.0
2014-09-30,10.48,$-16.44,0.0
2014-06-30,12.2,$-4.19,0.0
2014-03-31,11.7,$-5.03,0.0
2013-12-31,10.82,$-1.64,0.0
2013-09-30,9.4,$-1.47,0.0
2013-06-30,10.52,$-2.66,0.0
2013-03-31,11.57,$-3.03,0.0
2012-12-31,8.55,$-4.02,0.0
2012-09-30,7.76,$-2.03,0.0
2012-06-30,6.51,$-3.94,0.0
2012-03-31,6.12,$-6.16,0.0
2011-12-31,4.41,$-5.30,0.0
2011-09-30,3.38,$-7.54,0.0
2011-06-30,5.75,$-4.78,0.0
2011-03-31,5.95,$-0.67,0.0
2010-12-31,6.22,$0.26,23.77
2010-09-30,7.13,$3.27,2.18
2010-06-30,6.8,$4.51,1.51
2010-03-31,8.03,$3.23,2.49
2009-12-31,7.72,$3.70,2.09
