Princeton Bancorp Price to Free Cash Flow Ratio Historical Data,Princeton Bancorp Price to Free Cash Flow Ratio Historical Data,Princeton Bancorp Price to Free Cash Flow Ratio Historical Data,Princeton Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.21,,inf
2024-12-31,34.43,0.0,0.0
2024-09-30,36.98,0.0,0.0
2024-06-30,33.1,0.0,0.0
2024-03-31,30.78,0.0,0.0
2023-12-31,35.9,0.0,0.0
2023-09-30,28.99,0.0,0.0
2023-06-30,27.32,0.0,0.0
2023-03-31,31.72,0.0,0.0
2022-12-31,31.72,0.0,0.0
2022-09-30,28.13,0.0,0.0
2022-06-30,27.01,0.0,0.0
2022-03-31,28.13,0.0,0.0
2021-12-31,28.38,0.0,0.0
2021-09-30,28.73,0.0,0.0
2021-06-30,27.41,0.0,0.0
2021-03-31,27.2,0.0,0.0
2020-12-31,22.15,0.0,0.0
2020-09-30,17.11,0.0,0.0
2020-06-30,18.81,0.0,0.0
2020-03-31,21.66,0.0,0.0
2019-12-31,29.25,0.0,0.0
2019-09-30,26.9,0.0,0.0
2019-06-30,27.74,0.0,0.0
2019-03-31,29.31,0.0,0.0
2018-12-31,25.74,0.0,0.0
2018-09-30,28.15,0.0,0.0
2018-06-30,30.65,0.0,0.0
