Biglari Holdings Price to Free Cash Flow Ratio Historical Data,Biglari Holdings Price to Free Cash Flow Ratio Historical Data,Biglari Holdings Price to Free Cash Flow Ratio Historical Data,Biglari Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,224.03,,1.3
2024-12-31,254.29,$172.54,1.47
2024-09-30,172.01,$195.41,0.88
2024-06-30,193.38,$244.76,0.79
2024-03-31,189.68,$255.13,0.74
2023-12-31,164.93,$255.96,0.64
2023-09-30,166.0,$259.72,0.64
2023-06-30,197.14,$392.66,0.5
2023-03-31,169.2,$363.11,0.47
2022-12-31,138.8,$346.93,0.4
2022-09-30,115.6,$287.50,0.4
2022-06-30,122.7,$105.01,1.17
2022-03-31,144.61,$88.47,1.63
2021-12-31,142.57,$549.47,0.26
2021-09-30,171.81,$546.98,0.31
2021-06-30,159.47,$538.25,0.3
2021-03-31,132.76,$660.40,0.2
2020-12-31,111.2,$293.37,0.38
2020-09-30,89.01,$415.75,0.21
2020-06-30,68.98,$533.48,0.13
2020-03-31,51.4,$405.18,0.13
2019-12-31,114.42,$233.75,0.49
2019-09-30,109.0,$155.83,0.7
2019-06-30,103.86,$-2.94,0.0
2019-03-31,141.36,$14.00,10.1
2018-12-31,113.58,$22.91,4.96
2018-09-30,181.35,$-19.64,0.0
2018-06-30,183.49,$3.08,59.65
2018-03-31,408.41,$0.08,4879.45
2017-12-31,414.4,$50.93,8.14
2017-09-30,333.29,$142.48,2.34
2017-06-30,399.74,$154.13,2.59
2017-03-31,431.98,$161.22,2.68
2016-12-31,473.2,$152.10,3.11
2016-09-30,436.02,$47.26,9.23
2016-06-30,403.34,$48.12,8.38
2016-03-31,371.71,$40.97,9.07
2015-12-31,325.82,$26.70,12.2
2015-09-30,365.74,$25.53,14.32
2015-06-30,413.75,$12.67,32.67
2015-03-31,414.1,$-2.06,0.0
2014-12-31,399.51,0,0.0
2014-09-30,339.76,$-5.92,0.0
2014-06-30,422.97,$-23.15,0.0
2014-03-31,487.49,$-10.59,0.0
2013-12-31,506.64,$-1.18,0.0
2013-09-30,412.67,$4.91,83.98
2013-06-30,380.77,$1.08,351.32
2013-03-31,346.24,$6.37,54.33
2012-12-31,361.86,$4.91,73.64
2012-09-30,338.7,$3.35,101.19
2012-06-30,358.49,$-5.04,0.0
2012-03-31,373.76,$-8.57,0.0
2011-12-31,341.65,$3.35,102.07
2011-09-30,274.99,$19.38,14.19
2011-06-30,362.81,$18.92,19.18
2011-03-31,392.97,$20.43,19.23
2010-12-31,380.59,$19.38,19.64
2010-09-30,304.92,$12.08,25.23
2010-06-30,266.18,$10.49,25.37
2010-03-31,353.74,$10.12,34.97
2009-12-31,300.72,$12.08,24.88
