Royalty Management Holding Price to Free Cash Flow Ratio Historical Data,Royalty Management Holding Price to Free Cash Flow Ratio Historical Data,Royalty Management Holding Price to Free Cash Flow Ratio Historical Data,Royalty Management Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.04,,9.91
2024-09-30,0.97,$0.10,9.23
2024-06-30,0.77,$-0.00,0.0
2024-03-31,1.16,$0.00,0.0
2023-12-31,1.7,$-0.02,0.0
2023-09-30,10.85,$-0.01,0.0
2023-06-30,10.27,$-0.03,0.0
2023-03-31,10.16,$0.00,0.0
2022-12-31,10.01,$0.06,159.65
2022-09-30,10.21,$-0.04,0.0
2022-06-30,10.07,$-0.05,0.0
2022-03-31,10.27,$-0.12,0.0
