Cue Biopharma Price to Free Cash Flow Ratio Historical Data,Cue Biopharma Price to Free Cash Flow Ratio Historical Data,Cue Biopharma Price to Free Cash Flow Ratio Historical Data,Cue Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.96,,0.0
2024-09-30,0.76,$-0.78,0.0
2024-06-30,1.24,$-0.80,0.0
2024-03-31,1.89,$-0.83,0.0
2023-12-31,2.64,$-0.87,0.0
2023-09-30,2.3,$-0.91,0.0
2023-06-30,3.65,$-0.96,0.0
2023-03-31,3.57,$-1.06,0.0
2022-12-31,2.85,$-1.18,0.0
2022-09-30,2.23,$-1.23,0.0
2022-06-30,2.49,$-1.24,0.0
2022-03-31,4.88,$-1.22,0.0
2021-12-31,11.31,$-1.27,0.0
2021-09-30,14.57,$-1.21,0.0
2021-06-30,11.65,$-1.24,0.0
2021-03-31,12.2,$-1.15,0.0
2020-12-31,12.51,$-1.15,0.0
2020-09-30,15.05,$-1.19,0.0
2020-06-30,24.51,$-1.31,0.0
2020-03-31,14.19,$-1.40,0.0
2019-12-31,15.88,$-1.39,0.0
2019-09-30,8.43,$-1.28,0.0
2019-06-30,8.99,$-1.25,0.0
2019-03-31,7.73,$-1.29,0.0
2018-12-31,4.7,$-1.40,0.0
