ITT Price to Free Cash Flow Ratio Historical Data,ITT Price to Free Cash Flow Ratio Historical Data,ITT Price to Free Cash Flow Ratio Historical Data,ITT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,135.12,,25.26
2024-12-31,142.88,$5.35,26.71
2024-09-30,149.21,$4.66,32.03
2024-06-30,128.61,$5.38,23.91
2024-03-31,135.43,$5.23,25.92
2023-12-31,118.5,$5.22,22.72
2023-09-30,96.97,$5.45,17.79
2023-06-30,92.06,$4.08,22.56
2023-03-31,84.95,$3.06,27.72
2022-12-31,79.58,$2.33,34.21
2022-09-30,63.91,$1.56,40.84
2022-06-30,65.53,$2.14,30.67
2022-03-31,73.01,$-2.03,0.0
2021-12-31,98.86,$-1.03,0.0
2021-09-30,82.86,$-0.94,0.0
2021-06-30,88.2,$-0.75,0.0
2021-03-31,87.32,$4.54,19.21
2020-12-31,73.79,$4.28,17.23
2020-09-30,56.45,$4.43,12.75
2020-06-30,56.0,$4.34,12.91
2020-03-31,43.11,$3.23,13.37
2019-12-31,70.0,$3.02,23.21
2019-09-30,57.83,$3.26,17.74
2019-06-30,61.73,$3.40,18.16
2019-03-31,54.55,$3.59,15.18
2018-12-31,45.28,$3.60,12.57
2018-09-30,57.32,$2.45,23.41
2018-06-30,48.8,$1.89,25.84
2018-03-31,45.61,$1.77,25.79
2017-12-31,49.58,$1.50,32.95
2017-09-30,41.02,$1.68,24.43
2017-06-30,37.12,$1.60,23.23
2017-03-31,37.77,$1.50,25.22
2016-12-31,35.4,$1.44,24.61
2016-09-30,32.79,$1.53,21.37
2016-06-30,29.16,$1.38,21.19
2016-03-31,33.52,$1.65,20.35
2015-12-31,33.01,$1.58,20.94
2015-09-30,30.38,$1.66,18.35
2015-06-30,38.02,$1.42,26.7
2015-03-31,36.27,$1.46,24.78
2014-12-31,36.77,$1.36,27.1
2014-09-30,40.84,$1.30,31.35
2014-06-30,43.71,$1.19,36.75
2014-03-31,38.86,$1.09,35.73
2013-12-31,39.46,$1.12,35.12
2013-09-30,32.59,$0.77,42.46
2013-06-30,26.58,$1.31,20.23
2013-03-31,25.61,$1.37,18.72
2012-12-31,21.06,$1.74,12.13
2012-09-30,18.01,$-1.39,0.0
2012-06-30,15.66,$-1.60,0.0
2012-03-31,20.32,$-3.87,0.0
2011-12-31,17.06,$-4.58,0.0
2011-09-30,18.45,$-9.12,0.0
2011-06-30,25.81,$-7.06,0.0
2011-03-31,26.18,$-2.97,0.0
2010-12-31,22.62,$-2.16,0.0
2010-09-30,20.23,$-2.84,0.0
2010-06-30,19.29,$-0.47,0.0
2010-03-31,22.91,$0.19,119.99
2009-12-31,21.15,$1.83,11.56
