SL Green Realty Price to Free Cash Flow Ratio Historical Data,SL Green Realty Price to Free Cash Flow Ratio Historical Data,SL Green Realty Price to Free Cash Flow Ratio Historical Data,SL Green Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.27,,5.92
2024-12-31,67.92,$9.85,6.9
2024-09-30,69.16,$5.94,11.65
2024-06-30,55.65,$12.65,4.4
2024-03-31,53.67,$7.10,7.56
2023-12-31,43.3,$7.76,5.58
2023-09-30,34.99,$9.87,3.55
2023-06-30,27.59,$2.96,9.31
2023-03-31,20.9,$6.24,3.35
2022-12-31,29.18,$7.91,3.69
2022-09-30,33.95,$6.92,4.9
2022-06-30,38.2,$7.37,5.18
2022-03-31,66.14,$7.32,9.03
2021-12-31,59.48,$6.39,9.31
2021-09-30,56.29,$16.28,3.46
2021-06-30,62.78,$17.20,3.65
2021-03-31,54.29,$16.10,3.37
2020-12-31,46.94,$14.94,3.14
2020-09-30,34.72,$4.52,7.68
2020-06-30,36.23,$3.53,10.28
2020-03-31,31.12,$-0.32,0.0
2019-12-31,65.91,$0.85,77.97
2019-09-30,58.08,$4.23,13.74
2019-06-30,56.52,$5.35,10.56
2019-03-31,62.56,$11.16,5.6
2018-12-31,54.5,$15.71,3.47
2018-09-30,67.22,$17.68,3.8
2018-06-30,68.71,$17.21,3.99
2018-03-31,65.65,$13.78,4.76
2017-12-31,67.86,$8.94,7.59
2017-09-30,67.58,$2.73,24.75
2017-06-30,70.03,$7.10,9.86
2017-03-31,70.06,$24.96,2.81
2016-12-31,70.15,$26.98,2.6
2016-09-30,70.0,$28.30,2.47
2016-06-30,68.49,$3.97,17.27
2016-03-31,61.88,$-17.68,0.0
2015-12-31,71.63,$-14.49,0.0
2015-09-30,68.14,$-13.13,0.0
2015-06-30,68.85,$0.74,92.78
2015-03-31,80.0,$2.99,26.76
2014-12-31,73.82,$-1.14,0.0
2014-09-30,62.53,$-6.84,0.0
2014-06-30,67.2,$-1.56,0.0
2014-03-31,61.52,$-1.23,0.0
2013-12-31,56.2,$-2.06,0.0
2013-09-30,53.75,$1.30,41.42
2013-06-30,53.16,$0.31,172.71
2013-03-31,51.71,$-1.14,0.0
2012-12-31,45.86,$-2.71,0.0
2012-09-30,47.69,$-3.50,0.0
2012-06-30,47.65,$-2.55,0.0
2012-03-31,45.9,$-3.20,0.0
2011-12-31,39.32,$-0.84,0.0
2011-09-30,34.18,$-1.48,0.0
2011-06-30,48.62,$-0.75,0.0
2011-03-31,44.07,$7.63,5.78
2010-12-31,39.51,$6.98,5.66
2010-09-30,37.01,$8.99,4.12
2010-06-30,32.11,$8.45,3.8
2010-03-31,33.36,$2.36,14.12
2009-12-31,29.21,$2.81,10.4
