Mynd.ai Price to Free Cash Flow Ratio Historical Data,Mynd.ai Price to Free Cash Flow Ratio Historical Data,Mynd.ai Price to Free Cash Flow Ratio Historical Data,Mynd.ai Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.95,,4.39
2021-12-31,10.03,$0.22,46.36
2021-09-30,14.44,$-3.54,0.0
2021-06-30,22.09,$-3.54,0.0
2021-03-31,19.15,$-3.54,0.0
2020-12-31,12.01,$-3.54,0.0
2020-09-30,15.4,$0.41,37.67
2020-06-30,14.34,$0.41,35.07
2020-03-31,16.26,$0.41,39.77
2019-12-31,27.61,$0.41,67.53
2019-09-30,32.48,$-3.37,0.0
2019-06-30,33.95,$-3.37,0.0
2019-03-31,33.44,$-3.37,0.0
2018-12-31,29.59,$-3.37,0.0
2018-09-30,106.7,$5.03,21.22
2018-06-30,99.56,$5.03,19.8
