Medallion Financial Price to Free Cash Flow Ratio Historical Data,Medallion Financial Price to Free Cash Flow Ratio Historical Data,Medallion Financial Price to Free Cash Flow Ratio Historical Data,Medallion Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.82,,1.8
2024-12-31,9.39,$4.89,1.92
2024-09-30,8.05,$4.59,1.75
2024-06-30,7.5,$4.90,1.53
2024-03-31,7.63,$4.98,1.53
2023-12-31,9.38,$4.89,1.92
2023-09-30,6.61,$5.21,1.27
2023-06-30,7.37,$4.99,1.48
2023-03-31,7.06,$4.83,1.46
2022-12-31,6.51,$4.54,1.43
2022-09-30,6.33,$4.04,1.57
2022-06-30,5.71,$3.67,1.56
2022-03-31,7.51,$3.29,2.28
2021-12-31,5.08,$3.16,1.61
2021-09-30,6.87,$3.39,2.03
2021-06-30,7.76,$3.45,2.25
2021-03-31,6.17,$3.38,1.83
2020-12-31,4.29,$3.22,1.33
2020-09-30,2.19,$3.17,0.69
2020-06-30,2.32,$2.96,0.78
2020-03-31,1.63,$2.91,0.56
2019-12-31,6.37,$2.67,2.39
2019-09-30,5.6,$2.84,1.97
2019-06-30,5.9,$2.81,2.1
2019-03-31,6.04,$2.98,2.03
2018-12-31,4.11,$2.75,1.49
2018-09-30,5.82,$1.55,3.77
2018-06-30,4.8,$0.85,5.66
2018-03-31,4.07,$0.12,34.83
2017-12-31,3.09,$0.55,5.58
2017-09-30,1.9,$0.78,2.45
2017-06-30,2.09,$4.15,0.5
2017-03-31,1.73,$3.79,0.46
2016-12-31,2.64,$2.55,1.04
2016-09-30,3.64,$1.41,2.59
2016-06-30,6.31,$-2.92,0.0
2016-03-31,7.64,$-2.93,0.0
2015-12-31,5.68,$-1.83,0.0
2015-09-30,5.94,$-2.09,0.0
2015-06-30,6.35,$-0.38,0.0
2015-03-31,6.89,$0.23,29.55
2014-12-31,7.27,$-0.40,0.0
2014-09-30,8.29,$1.28,6.45
2014-06-30,8.68,$0.70,12.44
2014-03-31,9.04,$0.59,15.24
2013-12-31,9.66,$0.68,14.22
2013-09-30,9.88,$0.59,16.61
2013-06-30,9.1,$0.53,17.32
2013-03-31,8.53,$0.46,18.6
2012-12-31,7.45,$0.49,15.31
2012-09-30,7.36,$0.40,18.38
2012-06-30,6.49,$0.39,16.66
2012-03-31,6.7,$0.41,16.16
2011-12-31,6.71,$0.52,12.9
2011-09-30,5.4,$0.45,12.03
2011-06-30,5.55,$0.42,13.07
2011-03-31,4.92,$0.49,10.11
2010-12-31,4.5,$0.36,12.43
2010-09-30,4.2,$0.48,8.76
2010-06-30,3.48,$0.61,5.69
2010-03-31,4.12,$0.65,6.31
2009-12-31,4.15,$0.55,7.52
