Ribbon Communications Price to Free Cash Flow Ratio Historical Data,Ribbon Communications Price to Free Cash Flow Ratio Historical Data,Ribbon Communications Price to Free Cash Flow Ratio Historical Data,Ribbon Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.01,,25.08
2024-12-31,4.16,$0.16,26.02
2024-09-30,3.25,$-0.05,0.0
2024-06-30,3.29,$0.01,0.0
2024-03-31,3.2,$0.05,58.29
2023-12-31,2.9,$0.05,64.16
2023-09-30,2.68,$0.04,69.97
2023-06-30,2.79,$-0.00,0.0
2023-03-31,3.42,$-0.26,0.0
2022-12-31,2.79,$-0.23,0.0
2022-09-30,2.22,$-0.27,0.0
2022-06-30,3.04,$-0.18,0.0
2022-03-31,3.09,$0.17,18.1
2021-12-31,6.05,$0.01,435.25
2021-09-30,5.98,$0.18,33.0
2021-06-30,7.61,$0.35,21.77
2021-03-31,8.21,$0.10,82.93
2020-12-31,6.56,$0.82,8.02
2020-09-30,3.87,$0.88,4.42
2020-06-30,3.93,$0.65,6.01
2020-03-31,3.03,$0.90,3.36
2019-12-31,3.1,$0.41,7.58
2019-09-30,5.84,$0.24,24.39
2019-06-30,4.89,$0.30,16.55
2019-03-31,5.15,$-0.04,0.0
2018-12-31,4.82,$-0.17,0.0
2018-09-30,6.83,$-0.33,0.0
2018-06-30,7.12,$-0.19,0.0
2018-03-31,5.1,$0.03,160.88
2017-12-31,7.73,$0.07,111.38
2017-09-30,7.65,$0.28,27.28
2017-06-30,7.44,$0.17,44.63
2017-03-31,6.59,$0.30,21.94
2016-12-31,6.3,$0.29,21.36
2016-09-30,7.78,$0.47,16.6
2016-06-30,8.69,$0.76,11.48
2016-03-31,7.53,$0.70,10.82
2015-12-31,7.13,$0.24,29.26
2015-09-30,5.72,$-0.10,0.0
2015-06-30,6.92,$-0.25,0.0
2015-03-31,7.88,$-0.33,0.0
2014-12-31,19.85,$0.41,48.02
2014-09-30,17.1,$0.44,39.17
2014-06-30,17.95,$0.31,57.51
2014-03-31,16.85,$0.73,23.05
2013-12-31,15.75,$0.49,32.29
2013-09-30,16.85,$0.22,77.79
2013-06-30,15.05,$-0.09,0.0
2013-03-31,12.95,$-0.69,0.0
2012-12-31,8.5,$-0.89,0.0
2012-09-30,9.43,$-0.50,0.0
2012-06-30,10.73,$-0.35,0.0
2012-03-31,14.5,$-0.34,0.0
2011-12-31,12.0,$-0.34,0.0
2011-09-30,10.8,$-0.52,0.0
2011-06-30,16.2,$-0.49,0.0
2011-03-31,18.8,$-0.11,0.0
2010-12-31,13.35,$0.02,606.82
2010-09-30,17.65,$0.45,39.42
2010-06-30,13.55,$0.50,26.9
2010-03-31,13.15,$0.37,35.09
2009-12-31,10.55,$0.50,21.28
