DHI Price to Free Cash Flow Ratio Historical Data,DHI Price to Free Cash Flow Ratio Historical Data,DHI Price to Free Cash Flow Ratio Historical Data,DHI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.62,,10.27
2024-12-31,1.77,$0.16,11.22
2024-09-30,1.84,$0.18,10.44
2024-06-30,2.09,$0.12,17.02
2024-03-31,2.55,$0.08,32.73
2023-12-31,2.59,$0.02,105.28
2023-09-30,3.06,$0.01,226.67
2023-06-30,3.83,$0.13,29.62
2023-03-31,3.88,$0.17,22.45
2022-12-31,5.29,$0.39,13.63
2022-09-30,5.38,$0.33,16.37
2022-06-30,4.97,$0.28,17.98
2022-03-31,5.95,$0.36,16.49
2021-12-31,6.24,$0.31,20.25
2021-09-30,4.76,$0.34,14.03
2021-06-30,3.38,$0.29,11.86
2021-03-31,3.35,$0.14,24.45
2020-12-31,2.22,$0.05,41.57
2020-09-30,2.26,$0.04,52.31
2020-06-30,2.1,$0.05,45.85
2020-03-31,2.16,$0.14,15.66
2019-12-31,3.01,$0.17,17.79
2019-09-30,3.85,$0.22,17.3
2019-06-30,3.57,$0.17,20.93
2019-03-31,2.43,$-0.00,0.0
2018-12-31,1.52,$0.10,15.49
2018-09-30,2.1,$0.13,16.18
2018-06-30,2.35,$0.19,12.27
2018-03-31,1.6,$0.33,4.87
2017-12-31,1.9,$0.44,4.33
2017-09-30,2.6,$0.44,5.89
2017-06-30,2.85,$0.63,4.55
2017-03-31,3.95,$0.70,5.67
2016-12-31,6.25,$0.69,9.07
2016-09-30,7.89,$0.83,9.46
2016-06-30,6.23,$0.84,7.41
2016-03-31,8.07,$0.95,8.48
2015-12-31,9.17,$1.05,8.72
2015-09-30,7.31,$0.92,7.93
2015-06-30,8.89,$0.94,9.44
2015-03-31,8.92,$1.00,8.95
2014-12-31,10.01,$0.86,11.63
2014-09-30,8.38,$0.86,9.75
2014-06-30,7.61,$0.70,10.85
2014-03-31,7.46,$0.51,14.54
2013-12-31,7.25,$0.65,11.11
2013-09-30,8.51,$0.66,12.86
2013-06-30,9.21,$0.76,12.15
2013-03-31,10.13,$0.74,13.7
2012-12-31,9.18,$0.75,12.16
2012-09-30,8.42,$0.74,11.45
2012-06-30,9.39,$0.79,11.91
2012-03-31,9.33,$0.93,9.98
2011-12-31,8.29,$0.81,10.24
2011-09-30,7.82,$0.88,8.91
2011-06-30,13.52,$0.83,16.35
2011-03-31,15.11,$0.68,22.36
2010-12-31,14.35,$0.62,22.97
2010-09-30,8.48,$0.54,15.57
2010-06-30,6.92,$0.45,15.47
2010-03-31,7.6,$0.36,21.19
2009-12-31,6.55,$0.30,21.84
