Brainstorm Cell Therapeutics Price to Free Cash Flow Ratio Historical Data,Brainstorm Cell Therapeutics Price to Free Cash Flow Ratio Historical Data,Brainstorm Cell Therapeutics Price to Free Cash Flow Ratio Historical Data,Brainstorm Cell Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.54,,0.0
2024-09-30,3.45,$-2.81,0.0
2024-06-30,5.08,$-4.06,0.0
2024-03-31,8.47,$-6.21,0.0
2023-12-31,4.1,$-7.13,0.0
2023-09-30,3.0,$-7.73,0.0
2023-06-30,30.9,$-7.96,0.0
2023-03-31,49.5,$-8.05,0.0
2022-12-31,24.6,$-7.95,0.0
2022-09-30,66.3,$-8.37,0.0
2022-06-30,41.4,$-9.14,0.0
2022-03-31,50.4,$-8.77,0.0
2021-12-31,60.0,$-11.02,0.0
2021-09-30,49.5,$-13.20,0.0
2021-06-30,57.0,$-13.17,0.0
2021-03-31,57.45,$-13.71,0.0
2020-12-31,67.88,$-17.87,0.0
2020-09-30,253.8,$-15.93,0.0
2020-06-30,168.15,$-15.63,0.0
2020-03-31,69.6,$-15.35,0.0
2019-12-31,64.2,$-8.02,0.0
2019-09-30,58.5,$-8.55,0.0
2019-06-30,59.25,$-10.79,0.0
2019-03-31,65.1,$-8.46,0.0
2018-12-31,53.25,$-9.56,0.0
2018-09-30,57.3,$-8.86,0.0
2018-06-30,58.5,$-1.18,0.0
2018-03-31,47.25,$-2.42,0.0
2017-12-31,58.8,$-2.03,0.0
2017-09-30,61.8,$-0.60,0.0
2017-06-30,62.25,$-3.84,0.0
2017-03-31,63.75,$-3.69,0.0
2016-12-31,38.1,$-4.79,0.0
2016-09-30,36.15,$-4.91,0.0
2016-06-30,36.15,$-6.74,0.0
2016-03-31,40.05,$-6.89,0.0
2015-12-31,42.9,$-6.07,0.0
2015-09-30,34.35,$-7.54,0.0
2015-06-30,54.15,$-6.27,0.0
2015-03-31,66.75,$-6.08,0.0
2014-12-31,71.4,$-5.10,0.0
2014-09-30,61.65,$-4.87,0.0
2014-06-30,81.0,$-4.92,0.0
2014-03-31,63.0,$-5.40,0.0
2013-12-31,40.5,$-5.81,0.0
2013-09-30,42.75,$-4.85,0.0
2013-06-30,47.25,$-5.44,0.0
2013-03-31,56.25,$-4.55,0.0
2012-12-31,49.5,$-4.94,0.0
2012-09-30,51.75,$-4.60,0.0
2012-06-30,63.0,$-4.75,0.0
2012-03-31,49.5,$-5.48,0.0
2011-12-31,47.25,$-4.25,0.0
2011-09-30,72.0,$-4.72,0.0
2011-06-30,110.26,$-4.04,0.0
2011-03-31,67.5,$-3.76,0.0
2010-12-31,42.75,$-5.23,0.0
2010-09-30,49.5,$-4.87,0.0
2010-06-30,45.0,$-4.75,0.0
2010-03-31,76.5,$-3.73,0.0
2009-12-31,58.5,$-2.73,0.0
