Nu Skin Enterprises Price to Free Cash Flow Ratio Historical Data,Nu Skin Enterprises Price to Free Cash Flow Ratio Historical Data,Nu Skin Enterprises Price to Free Cash Flow Ratio Historical Data,Nu Skin Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.12,,5.75
2024-12-31,6.89,$1.41,4.88
2024-09-30,7.31,$1.82,4.01
2024-06-30,10.38,$2.15,4.84
2024-03-31,13.63,$1.70,8.03
2023-12-31,19.04,$1.21,15.78
2023-09-30,20.33,$0.76,26.88
2023-06-30,31.3,$0.04,727.89
2023-03-31,36.65,$0.35,103.81
2022-12-31,38.93,$0.97,40.14
2022-09-30,30.51,$2.52,12.12
2022-06-30,39.24,$2.77,14.17
2022-03-31,43.03,$2.10,20.51
2021-12-31,45.24,$1.42,31.89
2021-09-30,35.78,$1.11,32.28
2021-06-30,49.71,$2.65,18.75
2021-03-31,46.12,$4.34,10.62
2020-12-31,47.29,$5.98,7.91
2020-09-30,43.05,$5.16,8.34
2020-06-30,32.6,$3.84,8.5
2020-03-31,18.44,$3.29,5.6
2019-12-31,34.07,$2.00,17.03
2019-09-30,35.03,$2.43,14.41
2019-06-30,40.25,$2.74,14.7
2019-03-31,38.76,$2.20,17.63
2018-12-31,49.38,$2.34,21.07
2018-09-30,66.37,$3.55,18.69
2018-06-30,62.67,$3.81,16.46
2018-03-31,58.81,$4.07,14.44
2017-12-31,54.17,$4.42,12.26
2017-09-30,48.53,$3.54,13.7
2017-06-30,49.31,$3.07,16.08
2017-03-31,43.3,$4.35,9.94
2016-12-31,36.97,$4.01,9.21
2016-09-30,49.79,$3.72,13.37
2016-06-30,35.29,$4.38,8.06
2016-03-31,28.96,$3.32,8.71
2015-12-31,28.35,$4.50,6.31
2015-09-30,30.56,$4.59,6.65
2015-06-30,34.6,$3.45,10.02
2015-03-31,43.92,$1.46,30.14
2014-12-31,31.68,$-2.59,0.0
2014-09-30,32.36,$-3.74,0.0
2014-06-30,52.71,$-0.08,0.0
2014-03-31,58.77,$2.01,29.2
2013-12-31,97.62,$5.62,17.38
2013-09-30,67.44,$6.13,11.0
2013-06-30,42.9,$2.99,14.35
2013-03-31,30.87,$3.62,8.53
2012-12-31,25.69,$3.40,7.55
2012-09-30,26.8,$4.11,6.52
2012-06-30,32.22,$3.98,8.1
2012-03-31,39.6,$2.53,15.66
2011-12-31,33.09,$2.83,11.7
2011-09-30,27.51,$1.90,14.46
2011-06-30,25.39,$2.02,12.58
2011-03-31,19.37,$2.14,9.06
2010-12-31,20.3,$2.08,9.77
2010-09-30,19.24,$2.06,9.33
2010-06-30,16.57,$2.12,7.8
2010-03-31,19.25,$2.02,9.52
2009-12-31,17.69,$1.77,10.0
