Yalla Group Price to Free Cash Flow Ratio Historical Data,Yalla Group Price to Free Cash Flow Ratio Historical Data,Yalla Group Price to Free Cash Flow Ratio Historical Data,Yalla Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.07,,6.69
2024-09-30,4.54,$0.76,5.99
2024-06-30,4.55,$0.76,6.01
2024-03-31,4.81,$0.76,6.35
2023-12-31,6.13,$0.76,8.09
2023-09-30,5.24,$0.59,8.85
2023-06-30,4.36,$0.59,7.36
2023-03-31,3.94,$0.59,6.65
2022-12-31,3.5,$0.59,5.91
2022-09-30,3.24,$0.79,4.08
2022-06-30,3.9,$0.79,4.91
2022-03-31,4.48,$0.79,5.65
2021-12-31,6.71,$0.79,8.46
2021-09-30,7.59,$0.41,18.69
2021-06-30,19.99,$0.41,49.24
