Kodiak Gas Services Price to Free Cash Flow Ratio Historical Data,Kodiak Gas Services Price to Free Cash Flow Ratio Historical Data,Kodiak Gas Services Price to Free Cash Flow Ratio Historical Data,Kodiak Gas Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.45,,125.65
2024-12-31,40.83,$0.31,133.43
2024-09-30,29.0,$-0.53,0.0
2024-06-30,27.26,$0.23,117.05
2024-03-31,27.34,$0.59,46.19
