Fate Therapeutics Price to Free Cash Flow Ratio Historical Data,Fate Therapeutics Price to Free Cash Flow Ratio Historical Data,Fate Therapeutics Price to Free Cash Flow Ratio Historical Data,Fate Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,0.0
2024-12-31,1.65,$-1.09,0.0
2024-09-30,3.5,$-1.19,0.0
2024-06-30,3.28,$-1.33,0.0
2024-03-31,7.34,$-1.41,0.0
2023-12-31,3.74,$-1.41,0.0
2023-09-30,2.12,$-1.88,0.0
2023-06-30,4.76,$-2.14,0.0
2023-03-31,5.7,$-2.48,0.0
2022-12-31,10.09,$-2.93,0.0
2022-09-30,22.41,$-3.02,0.0
2022-06-30,24.78,$-2.87,0.0
2022-03-31,38.77,$-2.70,0.0
2021-12-31,58.51,$-2.25,0.0
2021-09-30,59.27,$-1.60,0.0
2021-06-30,86.79,$-1.48,0.0
2021-03-31,82.45,$-0.50,0.0
2020-12-31,90.93,$-0.54,0.0
2020-09-30,39.97,$-0.64,0.0
2020-06-30,34.31,$-0.56,0.0
2020-03-31,22.21,$-1.40,0.0
2019-12-31,19.57,$-1.33,0.0
2019-09-30,15.53,$-1.13,0.0
2019-06-30,20.3,$-0.90,0.0
2019-03-31,17.57,$-0.78,0.0
2018-12-31,12.83,$-0.73,0.0
2018-09-30,16.29,$-0.80,0.0
2018-06-30,11.34,$-0.97,0.0
2018-03-31,9.76,$-0.98,0.0
2017-12-31,6.11,$-0.92,0.0
2017-09-30,3.96,$-0.90,0.0
2017-06-30,3.24,$-0.84,0.0
2017-03-31,4.55,$-0.88,0.0
2016-12-31,2.51,$-0.95,0.0
2016-09-30,3.12,$-1.04,0.0
2016-06-30,1.7,$-1.10,0.0
2016-03-31,1.8,$-0.71,0.0
2015-12-31,3.37,$-0.78,0.0
2015-09-30,5.33,$-0.76,0.0
2015-06-30,6.47,$-0.80,0.0
2015-03-31,4.89,$-1.19,0.0
2014-12-31,5.03,$-1.14,0.0
2014-09-30,5.1,$-3.47,0.0
