Omega Flex Price to Free Cash Flow Ratio Historical Data,Omega Flex Price to Free Cash Flow Ratio Historical Data,Omega Flex Price to Free Cash Flow Ratio Historical Data,Omega Flex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.82,,20.25
2024-12-31,41.97,$1.87,22.47
2024-09-30,49.92,$2.12,23.55
2024-06-30,50.94,$1.90,26.85
2024-03-31,69.66,$2.28,30.56
2023-12-31,69.25,$2.16,32.09
2023-09-30,77.01,$2.04,37.75
2023-06-30,101.09,$2.24,45.2
2023-03-31,107.88,$1.91,56.49
2022-12-31,90.34,$1.42,63.75
2022-09-30,89.08,$1.53,58.06
2022-06-30,103.5,$1.40,74.18
2022-03-31,124.24,$1.82,68.24
2021-12-31,121.45,$2.40,50.7
2021-09-30,136.15,$2.00,67.94
2021-06-30,139.7,$1.99,70.18
2021-03-31,149.77,$1.98,75.64
2020-12-31,138.5,$1.86,74.58
2020-09-30,148.17,$1.70,87.33
2020-06-30,99.75,$1.94,51.44
2020-03-31,79.31,$1.65,48.0
2019-12-31,100.82,$1.47,68.68
2019-09-30,92.94,$1.70,54.81
2019-06-30,69.61,$1.79,38.79
2019-03-31,68.27,$1.82,37.48
2018-12-31,48.7,$1.90,25.68
2018-09-30,63.8,$1.90,33.61
2018-06-30,70.69,$1.87,37.86
2018-03-31,57.78,$1.71,33.7
2017-12-31,63.38,$1.48,42.77
2017-09-30,63.57,$1.37,46.29
2017-06-30,56.8,$1.16,48.87
2017-03-31,42.01,$0.96,43.94
2016-12-31,49.01,$1.44,34.05
2016-09-30,33.39,$1.31,25.59
2016-06-30,32.94,$1.41,23.44
2016-03-31,30.12,$1.56,19.37
2015-12-31,28.59,$1.25,22.84
2015-09-30,28.31,$1.32,21.52
2015-06-30,31.92,$1.45,22.05
2015-03-31,21.32,$1.48,14.38
2014-12-31,32.04,$1.45,22.11
2014-09-30,16.24,$1.33,12.21
2014-06-30,16.37,$1.26,12.99
2014-03-31,17.89,$1.03,17.29
2013-12-31,17.07,$1.18,14.48
2013-09-30,15.44,$0.78,19.67
2013-06-30,12.15,$0.45,26.85
2013-03-31,14.05,$0.23,62.12
2012-12-31,10.1,$0.71,14.22
2012-09-30,8.03,$0.78,10.36
2012-06-30,9.02,$0.62,14.5
2012-03-31,9.62,$0.73,13.24
2011-12-31,10.7,$0.13,83.65
2011-09-30,10.07,$0.13,76.47
2011-06-30,10.62,$0.34,31.69
2011-03-31,10.18,$0.34,29.54
2010-12-31,12.52,$0.46,27.38
2010-09-30,10.81,$0.62,17.35
2010-06-30,11.04,$0.70,15.76
2010-03-31,7.95,$0.87,9.13
2009-12-31,10.6,$0.78,13.53
