Redhill Biopharma Price to Free Cash Flow Ratio Historical Data,Redhill Biopharma Price to Free Cash Flow Ratio Historical Data,Redhill Biopharma Price to Free Cash Flow Ratio Historical Data,Redhill Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.8,,0.0
2022-12-31,140.3,$-476.78,0.0
2022-09-30,502.5,$-747.88,0.0
2022-06-30,870.0,"$-1,098.92",0.0
2022-03-31,2520.0,"$-1,192.28",0.0
2021-12-31,2580.0,"$-1,400.51",0.0
2021-09-30,4580.0,"$-1,448.10",0.0
2021-06-30,6880.0,"$-1,262.35",0.0
2021-03-31,7320.0,"$-1,324.23",0.0
2020-12-31,8080.0,"$-1,344.72",0.0
2020-09-30,10220.0,"$-1,397.38",0.0
2020-06-30,6700.0,"$-1,491.23",0.0
2020-03-31,4530.0,"$-1,420.37",0.0
2019-12-31,6070.0,"$-1,378.04",0.0
2019-09-30,7040.0,"$-1,325.10",0.0
2019-06-30,6500.0,"$-1,291.18",0.0
2019-03-31,8310.0,"$-1,311.28",0.0
2018-12-31,5550.0,"$-1,491.57",0.0
2018-09-30,8830.0,"$-1,871.40",0.0
2018-06-30,8530.0,"$-2,208.44",0.0
2018-03-31,5150.0,"$-2,382.83",0.0
2017-12-31,5140.0,"$-2,543.62",0.0
2017-09-30,10810.0,"$-2,573.14",0.0
2017-06-30,8620.0,"$-2,535.68",0.0
2017-03-31,9590.0,"$-2,418.17",0.0
2016-12-31,10460.0,"$-2,205.44",0.0
2016-09-30,13890.0,"$-1,820.58",0.0
2016-06-30,10865.0,"$-1,394.69",0.0
2016-03-31,12250.0,"$-1,394.99",0.0
2015-12-31,12880.0,"$-1,361.07",0.0
2015-09-30,12910.0,"$-1,616.82",0.0
2015-06-30,17610.0,"$-1,921.80",0.0
2015-03-31,14550.0,"$-1,946.41",0.0
2014-12-31,13330.0,"$-1,396.59",0.0
2014-09-30,13170.0,"$-1,111.49",0.0
2014-06-30,17490.0,$-978.33,0.0
2014-03-31,14090.1,$-874.55,0.0
2013-12-31,11800.0,"$-1,318.75",0.0
