Willis Lease Finance Price to Free Cash Flow Ratio Historical Data,Willis Lease Finance Price to Free Cash Flow Ratio Historical Data,Willis Lease Finance Price to Free Cash Flow Ratio Historical Data,Willis Lease Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,185.94,,0.0
2024-12-31,207.55,$-57.40,0.0
2024-09-30,148.63,$-7.66,0.0
2024-06-30,69.03,$3.22,21.44
2024-03-31,48.69,$22.39,2.17
2023-12-31,47.96,$22.53,2.13
2023-09-30,41.51,$9.04,4.59
2023-06-30,38.4,$-14.96,0.0
2023-03-31,53.75,$-15.76,0.0
2022-12-31,57.9,$-12.60,0.0
2022-09-30,32.13,$-15.12,0.0
2022-06-30,36.78,$-5.62,0.0
2022-03-31,31.59,$-8.39,0.0
2021-12-31,36.94,$-12.55,0.0
2021-09-30,36.49,$-62.22,0.0
2021-06-30,42.06,$-48.22,0.0
2021-03-31,42.64,$-42.35,0.0
2020-12-31,29.89,$-47.77,0.0
2020-09-30,18.1,$1.57,11.51
2020-06-30,23.82,$0.95,25.08
2020-03-31,26.1,$1.99,13.09
2019-12-31,57.8,$20.88,2.77
2019-09-30,54.34,$18.49,2.94
2019-06-30,57.23,$7.49,7.64
2019-03-31,41.59,$-5.29,0.0
2018-12-31,33.95,$-31.72,0.0
2018-09-30,33.86,$-58.98,0.0
2018-06-30,31.0,$-55.74,0.0
2018-03-31,33.64,$-52.25,0.0
2017-12-31,24.5,$-32.69,0.0
2017-09-30,24.13,$-7.13,0.0
2017-06-30,26.23,$-8.10,0.0
2017-03-31,21.93,$-0.58,0.0
2016-12-31,25.1,$-3.06,0.0
2016-09-30,23.32,$1.59,14.68
2016-06-30,21.81,$3.38,6.46
2016-03-31,21.18,$-1.65,0.0
2015-12-31,19.72,$-4.93,0.0
2015-09-30,15.95,$-10.75,0.0
2015-06-30,18.03,$-8.80,0.0
2015-03-31,18.23,$-5.09,0.0
2014-12-31,21.49,$-3.25,0.0
2014-09-30,20.14,$1.82,11.05
2014-06-30,24.06,$6.16,3.9
2014-03-31,20.09,$6.88,2.92
2013-12-31,17.03,$-2.13,0.0
2013-09-30,15.43,$-0.60,0.0
2013-06-30,13.26,$-4.99,0.0
2013-03-31,14.84,$-4.44,0.0
2012-12-31,14.04,$4.46,3.15
2012-09-30,12.11,$0.78,15.61
2012-06-30,12.09,$10.49,1.15
2012-03-31,12.77,$7.49,1.7
2011-12-31,11.73,$4.75,2.47
2011-09-30,11.08,$5.33,2.08
2011-06-30,13.15,$-2.93,0.0
2011-03-31,12.4,$-2.28,0.0
2010-12-31,12.79,$-0.16,0.0
2010-09-30,9.87,$-2.24,0.0
2010-06-30,9.05,$-5.99,0.0
2010-03-31,15.48,$-9.11,0.0
2009-12-31,14.72,$-9.46,0.0
