Quince Therapeutics Price to Free Cash Flow Ratio Historical Data,Quince Therapeutics Price to Free Cash Flow Ratio Historical Data,Quince Therapeutics Price to Free Cash Flow Ratio Historical Data,Quince Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.37,,0.0
2024-09-30,0.78,$-0.72,0.0
2024-06-30,0.75,$-0.68,0.0
2024-03-31,1.06,$-0.59,0.0
2023-12-31,1.05,$-0.49,0.0
2023-09-30,1.12,$-0.58,0.0
2023-06-30,1.51,$-0.55,0.0
2023-03-31,1.56,$-0.88,0.0
2022-12-31,0.64,$-1.32,0.0
2022-09-30,1.33,$-1.56,0.0
2022-06-30,2.22,$-2.03,0.0
2022-03-31,6.19,$-2.20,0.0
2021-12-31,12.62,$-2.12,0.0
2021-09-30,91.66,$-2.10,0.0
2021-06-30,53.0,$-1.95,0.0
2021-03-31,36.03,$-1.82,0.0
2020-12-31,27.78,$-1.74,0.0
2020-09-30,50.0,$-2.19,0.0
2020-06-30,46.3,$-1.75,0.0
2020-03-31,45.61,$-2.13,0.0
