Flanigan's Enterprises Price to Free Cash Flow Ratio Historical Data,Flanigan's Enterprises Price to Free Cash Flow Ratio Historical Data,Flanigan's Enterprises Price to Free Cash Flow Ratio Historical Data,Flanigan's Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.1,,7.93
2024-12-31,25.25,$3.16,7.98
2024-09-30,27.5,$0.90,30.53
2024-06-30,26.88,$0.67,40.33
2024-03-31,25.08,$-5.17,0.0
2023-12-31,25.23,$-5.30,0.0
2023-09-30,32.37,$-4.39,0.0
2023-06-30,30.06,$-3.76,0.0
2023-03-31,27.35,$0.31,89.11
2022-12-31,25.03,$2.58,9.7
2022-09-30,24.68,$1.69,14.58
2022-06-30,29.02,$0.71,40.9
2022-03-31,33.56,$2.38,14.07
2021-12-31,29.02,$1.93,15.07
2021-09-30,25.08,$1.88,13.3
2021-06-30,37.89,$2.69,14.09
2021-03-31,22.32,$3.08,7.24
2020-12-31,18.57,$3.45,5.39
2020-09-30,16.77,$3.34,5.02
2020-06-30,13.82,$4.29,3.22
2020-03-31,10.9,$2.90,3.76
2019-12-31,20.24,$2.80,7.23
2019-09-30,20.91,$2.32,9.0
2019-06-30,21.03,$1.41,14.95
2019-03-31,21.19,$1.26,16.79
2018-12-31,23.39,$2.28,10.27
2018-09-30,25.31,$2.90,8.72
2018-06-30,24.91,$3.01,8.26
2018-03-31,21.7,$3.24,6.69
2017-12-31,21.1,$1.31,16.16
2017-09-30,21.69,$0.87,24.89
2017-06-30,27.01,$0.99,27.34
2017-03-31,21.69,$1.32,16.47
2016-12-31,21.6,$3.74,5.78
2016-09-30,21.14,$2.89,7.33
2016-06-30,18.35,$2.44,7.51
2016-03-31,16.82,$3.49,4.82
2015-12-31,19.22,$3.11,6.17
2015-09-30,24.54,$3.67,6.69
2015-06-30,22.24,$4.19,5.31
2015-03-31,28.12,$3.31,8.49
2014-12-31,26.23,$3.11,8.44
2014-09-30,17.41,$3.05,5.7
2014-06-30,12.77,$2.95,4.33
2014-03-31,12.81,$2.88,4.45
2013-12-31,11.59,$2.80,4.13
2013-09-30,9.01,$1.86,4.85
2013-06-30,8.28,$1.78,4.65
2013-03-31,6.73,$1.38,4.89
2012-12-31,6.75,$1.01,6.67
2012-09-30,6.6,$2.29,2.88
2012-06-30,7.21,$1.96,3.68
2012-03-31,6.53,$1.39,4.69
2011-12-31,5.9,$1.78,3.32
2011-09-30,6.33,$-0.03,0.0
2011-06-30,6.69,$-0.26,0.0
2011-03-31,7.0,$0.43,16.26
2010-12-31,7.54,$0.59,12.85
2010-09-30,6.17,$2.22,2.78
2010-06-30,5.71,$2.29,2.49
2010-03-31,5.71,$2.53,2.25
2009-12-31,5.15,$2.82,1.83
