Bluejay Diagnostics Price to Free Cash Flow Ratio Historical Data,Bluejay Diagnostics Price to Free Cash Flow Ratio Historical Data,Bluejay Diagnostics Price to Free Cash Flow Ratio Historical Data,Bluejay Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.95,,0.0
2024-09-30,0.13,"$-1,093.94",0.0
2024-06-30,0.7,"$-1,814.18",0.0
2024-03-31,0.8,"$-2,399.80",0.0
2023-12-31,1.22,"$-3,289.75",0.0
2023-09-30,4.33,"$-3,491.42",0.0
2023-06-30,0.26,"$-4,011.98",0.0
2023-03-31,0.41,"$-4,068.55",0.0
2022-12-31,0.38,"$-3,547.27",0.0
2022-09-30,0.78,"$-2,285.60",0.0
