KT Price to Free Cash Flow Ratio Historical Data,KT Price to Free Cash Flow Ratio Historical Data,KT Price to Free Cash Flow Ratio Historical Data,KT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.18,,5.44
2024-09-30,15.38,$3.34,4.6
2024-06-30,13.51,$4.36,3.1
2024-03-31,13.68,$4.18,3.28
2023-12-31,12.94,$3.06,4.23
2023-09-30,11.73,$2.58,4.55
2023-06-30,10.34,$1.25,8.26
2023-03-31,10.38,$0.41,25.33
2022-12-31,12.35,$0.48,25.52
2022-09-30,10.61,$2.34,4.53
2022-06-30,12.12,$3.28,3.69
2022-03-31,12.45,$3.65,3.41
2021-12-31,10.92,$4.28,2.55
2021-09-30,11.16,$3.59,3.11
2021-06-30,11.43,$2.47,4.63
2021-03-31,10.2,$1.17,8.72
2020-09-30,7.47,$1.88,3.97
2020-06-30,7.57,$-0.48,0.0
2019-09-30,8.46,$1.28,6.63
2019-06-30,9.25,$-0.28,0.0
2018-09-30,10.75,0,0.0
2018-06-30,9.62,$1.77,5.42
2017-09-30,9.75,0,0.0
2017-06-30,11.7,$1.51,7.74
2016-12-31,9.9,0,0.0
2016-09-30,11.01,0,0.0
2016-06-30,9.78,0,0.0
2016-03-31,9.2,0,0.0
2015-12-31,8.17,0,0.0
2015-06-30,8.69,0,0.0
2015-03-31,8.97,0,0.0
2014-12-31,9.68,0,0.0
2014-09-30,11.12,0,0.0
2014-06-30,10.38,0,0.0
2014-03-31,9.53,0,0.0
2013-12-31,10.2,0,0.0
2013-09-30,11.27,0,0.0
2013-06-30,10.43,0,0.0
2013-03-31,10.56,0,0.0
2012-12-31,11.25,0,0.0
2012-09-30,10.1,0,0.0
2012-06-30,8.51,0,0.0
2012-03-31,8.84,0,0.0
2011-12-31,10.1,0,0.0
2011-09-30,9.13,0,0.0
2011-06-30,12.01,$-1.34,0.0
2011-03-31,12.07,0,0.0
2010-12-31,12.85,0,0.0
2010-06-30,11.37,$-0.88,0.0
2009-12-31,9.98,$1.34,7.46
