Energous Price to Free Cash Flow Ratio Historical Data,Energous Price to Free Cash Flow Ratio Historical Data,Energous Price to Free Cash Flow Ratio Historical Data,Energous Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.31,,0.0
2024-12-31,1.01,$-2.47,0.0
2024-09-30,0.59,$-3.00,0.0
2024-06-30,1.09,$-3.26,0.0
2024-03-31,2.03,$-3.70,0.0
2023-12-31,1.83,$-4.17,0.0
2023-09-30,1.6,$-4.62,0.0
2023-06-30,4.8,$-5.20,0.0
2023-03-31,10.8,$-5.80,0.0
2022-12-31,16.72,$-6.14,0.0
2022-09-30,20.6,$-6.61,0.0
2022-06-30,20.0,$-8.37,0.0
2022-03-31,24.0,$-8.65,0.0
2021-12-31,25.0,$-8.96,0.0
2021-09-30,41.6,$-9.92,0.0
2021-06-30,57.4,$-9.57,0.0
2021-03-31,81.2,$-9.73,0.0
2020-12-31,36.0,$-11.97,0.0
2020-09-30,59.0,$-13.25,0.0
2020-06-30,56.4,$-14.64,0.0
2020-03-31,14.86,$-16.55,0.0
2019-12-31,35.4,$-17.72,0.0
2019-09-30,66.3,$-20.57,0.0
2019-06-30,87.4,$-23.29,0.0
2019-03-31,126.8,$-25.10,0.0
2018-12-31,115.8,$-26.20,0.0
2018-09-30,202.4,$-27.46,0.0
2018-06-30,296.6,$-26.75,0.0
2018-03-31,320.6,$-29.67,0.0
2017-12-31,389.0,$-33.03,0.0
2017-09-30,253.2,$-35.47,0.0
2017-06-30,325.2,$-38.06,0.0
2017-03-31,312.0,$-40.73,0.0
2016-12-31,337.0,$-38.76,0.0
2016-09-30,392.2,$-35.00,0.0
2016-06-30,259.0,$-34.04,0.0
2016-03-31,202.0,$-31.69,0.0
2015-12-31,158.2,$-31.63,0.0
2015-09-30,138.0,$-48.62,0.0
2015-06-30,154.0,$-51.60,0.0
2015-03-31,188.8,$-41.82,0.0
2014-12-31,219.2,$-43.42,0.0
