Marin Software Price to Free Cash Flow Ratio Historical Data,Marin Software Price to Free Cash Flow Ratio Historical Data,Marin Software Price to Free Cash Flow Ratio Historical Data,Marin Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.42,,0.0
2024-09-30,2.25,$-2.63,0.0
2024-06-30,2.32,$-3.57,0.0
2024-03-31,1.83,$-4.65,0.0
2023-12-31,2.2,$-5.57,0.0
2023-09-30,2.55,$-6.77,0.0
2023-06-30,3.54,$-7.05,0.0
2023-03-31,5.46,$-7.04,0.0
2022-12-31,6.0,$-7.51,0.0
2022-09-30,7.68,$-7.22,0.0
2022-06-30,9.9,$-5.98,0.0
2022-03-31,17.28,$-4.72,0.0
2021-12-31,22.26,$-4.31,0.0
2021-09-30,54.72,$-3.67,0.0
2021-06-30,64.38,$-5.35,0.0
2021-03-31,10.68,$-5.70,0.0
2020-12-31,12.12,$-6.17,0.0
2020-09-30,7.98,$-7.29,0.0
2020-06-30,8.52,$-5.02,0.0
2020-03-31,7.29,$-3.43,0.0
2019-12-31,8.28,$-3.67,0.0
2019-09-30,15.35,$-4.21,0.0
2019-06-30,14.76,$-6.27,0.0
2019-03-31,27.42,$-12.56,0.0
2018-12-31,31.86,$-16.27,0.0
2018-09-30,19.2,$-15.02,0.0
2018-06-30,34.8,$-16.56,0.0
2018-03-31,39.9,$-12.40,0.0
2017-12-31,65.7,$-7.86,0.0
2017-09-30,73.5,$-5.75,0.0
2017-06-30,54.6,$-0.93,0.0
2017-03-31,75.6,$0.04,2000.0
2016-12-31,98.7,$0.18,539.34
2016-09-30,105.84,$5.30,19.99
2016-06-30,98.7,$-4.89,0.0
2016-03-31,126.84,$-16.85,0.0
2015-12-31,150.36,$-23.72,0.0
2015-09-30,131.46,$-39.36,0.0
2015-06-30,283.08,$-39.53,0.0
2015-03-31,264.18,$-37.43,0.0
2014-12-31,355.32,$-40.31,0.0
2014-09-30,361.2,$-49.22,0.0
2014-06-30,494.34,$-51.91,0.0
2014-03-31,443.94,$-16.97,0.0
2013-12-31,430.08,$-50.47,0.0
