23andMe Holding Price to Free Cash Flow Ratio Historical Data,23andMe Holding Price to Free Cash Flow Ratio Historical Data,23andMe Holding Price to Free Cash Flow Ratio Historical Data,23andMe Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.0
2024-12-31,3.25,$-6.24,0.0
2024-09-30,0.35,$-5.20,0.0
2024-06-30,0.39,$-5.98,0.0
2024-03-31,0.53,$-7.31,0.0
2023-12-31,0.91,$-8.24,0.0
2023-09-30,0.98,$-6.67,0.0
2023-06-30,1.75,$-7.54,0.0
2023-03-31,2.28,$-7.83,0.0
2022-12-31,2.16,$-8.95,0.0
2022-09-30,2.86,$-10.97,0.0
2022-06-30,2.48,$-7.64,0.0
2022-03-31,3.83,$-9.70,0.0
2021-12-31,6.66,$-10.09,0.0
2021-09-30,9.06,$-17.30,0.0
