Crown LNG Holdings Price to Free Cash Flow Ratio Historical Data,Crown LNG Holdings Price to Free Cash Flow Ratio Historical Data,Crown LNG Holdings Price to Free Cash Flow Ratio Historical Data,Crown LNG Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.24,,0.0
2024-03-31,11.29,$-0.15,0.0
2023-12-31,11.13,$-0.19,0.0
2023-09-30,11.0,$-0.14,0.0
2023-06-30,10.48,$-0.14,0.0
2023-03-31,10.26,$-0.14,0.0
2022-12-31,10.09,$-0.13,0.0
2022-09-30,9.9,$-0.13,0.0
2022-06-30,9.82,$-0.09,0.0
2022-03-31,9.8,$-0.12,0.0
