Anavex Life Sciences Price to Free Cash Flow Ratio Historical Data,Anavex Life Sciences Price to Free Cash Flow Ratio Historical Data,Anavex Life Sciences Price to Free Cash Flow Ratio Historical Data,Anavex Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.93,,0.0
2024-12-31,10.74,$-0.42,0.0
2024-09-30,5.68,$-0.37,0.0
2024-06-30,4.22,$-0.36,0.0
2024-03-31,5.09,$-0.40,0.0
2023-12-31,9.31,$-0.36,0.0
2023-09-30,6.55,$-0.35,0.0
2023-06-30,8.13,$-0.33,0.0
2023-03-31,8.57,$-0.33,0.0
2022-12-31,9.26,$-0.34,0.0
2022-09-30,10.32,$-0.32,0.0
2022-06-30,10.01,$-0.37,0.0
2022-03-31,12.31,$-0.39,0.0
2021-12-31,17.34,$-0.36,0.0
2021-09-30,17.95,$-0.44,0.0
2021-06-30,22.86,$-0.43,0.0
2021-03-31,14.95,$-0.40,0.0
2020-12-31,5.4,$-0.38,0.0
2020-09-30,4.55,$-0.37,0.0
2020-06-30,4.92,$-0.31,0.0
2020-03-31,3.15,$-0.39,0.0
2019-12-31,2.59,$-0.39,0.0
2019-09-30,3.16,$-0.38,0.0
2019-06-30,3.37,$-0.42,0.0
2019-03-31,3.05,$-0.32,0.0
2018-12-31,1.56,$-0.29,0.0
2018-09-30,2.73,$-0.28,0.0
2018-06-30,2.62,$-0.25,0.0
2018-03-31,2.76,$-0.27,0.0
2017-12-31,3.22,$-0.22,0.0
2017-09-30,4.14,$-0.22,0.0
2017-06-30,5.32,$-0.22,0.0
2017-03-31,5.74,$-0.21,0.0
2016-12-31,3.96,$-0.25,0.0
2016-09-30,3.63,$-0.26,0.0
