Emerald Holding Price to Free Cash Flow Ratio Historical Data,Emerald Holding Price to Free Cash Flow Ratio Historical Data,Emerald Holding Price to Free Cash Flow Ratio Historical Data,Emerald Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.1,,14.11
2024-12-31,4.82,$0.29,16.59
2024-09-30,4.97,$0.37,13.6
2024-06-30,5.66,$0.48,11.84
2024-03-31,6.77,$0.60,11.27
2023-12-31,5.94,$0.62,9.58
2023-09-30,4.49,$0.01,320.88
2023-06-30,4.07,$2.12,1.92
2023-03-31,3.7,$2.18,1.7
2022-12-31,3.52,$2.51,1.4
2022-09-30,3.36,$3.62,0.93
2022-06-30,4.05,$1.51,2.68
2022-03-31,3.38,$1.68,2.01
2021-12-31,3.95,$1.24,3.18
2021-09-30,4.31,$0.57,7.5
2021-06-30,5.36,$0.16,33.86
2021-03-31,5.49,$-0.63,0.0
2020-12-31,5.39,$-0.53,0.0
2020-09-30,2.03,$-0.39,0.0
2020-06-30,3.06,$0.05,56.48
2020-03-31,2.57,$0.88,2.91
2019-12-31,10.4,$0.92,11.27
2019-09-30,9.52,$1.22,7.8
2019-06-30,10.82,$1.25,8.68
2019-03-31,12.25,$1.30,9.4
2018-12-31,11.84,$1.41,8.37
2018-09-30,15.72,$1.52,10.37
2018-06-30,19.55,$1.39,14.04
2018-03-31,18.42,$1.79,10.28
