CN Energy Group Price to Free Cash Flow Ratio Historical Data,CN Energy Group Price to Free Cash Flow Ratio Historical Data,CN Energy Group Price to Free Cash Flow Ratio Historical Data,CN Energy Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.17,,inf
2024-09-30,0.84,0.0,0.0
2023-09-30,0.12,0.0,0.0
2023-03-31,0.21,0.0,0.0
