Liquidia Technologies Price to Free Cash Flow Ratio Historical Data,Liquidia Technologies Price to Free Cash Flow Ratio Historical Data,Liquidia Technologies Price to Free Cash Flow Ratio Historical Data,Liquidia Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.44,,0.0
2024-12-31,11.76,$-1.25,0.0
2024-09-30,10.0,$-1.22,0.0
2024-06-30,12.0,$-1.08,0.0
2024-03-31,14.75,$-0.86,0.0
2023-12-31,12.03,$-0.66,0.0
2023-09-30,6.34,$-0.52,0.0
2023-06-30,7.85,$-0.41,0.0
2023-03-31,6.91,$-0.43,0.0
2022-12-31,6.37,$-0.48,0.0
2022-09-30,5.44,$-0.55,0.0
2022-06-30,4.36,$-0.57,0.0
2022-03-31,7.18,$-0.59,0.0
2021-12-31,4.87,$-0.69,0.0
2021-09-30,2.76,$-1.05,0.0
2021-06-30,2.86,$-1.04,0.0
2021-03-31,2.69,$-1.39,0.0
2020-12-31,2.95,$-1.62,0.0
2020-09-30,4.92,$-1.88,0.0
2020-06-30,8.42,$-2.46,0.0
2020-03-31,4.71,$-2.58,0.0
2019-12-31,4.28,$-2.71,0.0
2019-09-30,3.56,$-4.42,0.0
2019-06-30,8.0,$-5.87,0.0
