Pulmatrix Price to Free Cash Flow Ratio Historical Data,Pulmatrix Price to Free Cash Flow Ratio Historical Data,Pulmatrix Price to Free Cash Flow Ratio Historical Data,Pulmatrix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.6,,0.0
2024-09-30,2.14,$-3.33,0.0
2024-06-30,1.93,$-3.71,0.0
2024-03-31,1.75,$-4.00,0.0
2023-12-31,1.86,$-4.56,0.0
2023-09-30,2.03,$-5.43,0.0
2023-06-30,2.68,$-5.15,0.0
2023-03-31,2.92,$-5.12,0.0
2022-12-31,3.88,$-5.64,0.0
2022-09-30,3.57,$-5.98,0.0
2022-06-30,4.59,$-6.25,0.0
2022-03-31,6.83,$-6.81,0.0
2021-12-31,8.75,$-7.34,0.0
2021-09-30,16.0,$-8.53,0.0
2021-06-30,20.8,$-9.63,0.0
2021-03-31,26.6,$-11.95,0.0
2020-12-31,23.8,$-8.88,0.0
2020-09-30,23.8,$-9.56,0.0
2020-06-30,34.4,$-11.76,0.0
2020-03-31,20.2,$14.46,1.4
2019-12-31,17.2,$3.79,4.54
2019-09-30,16.36,$-20.12,0.0
2019-06-30,18.44,$-34.27,0.0
2019-03-31,25.4,$-62.75,0.0
2018-12-31,48.02,$-81.34,0.0
2018-09-30,74.0,$-92.07,0.0
2018-06-30,90.0,$-117.14,0.0
2018-03-31,101.8,$-143.17,0.0
2017-12-31,282.0,$-150.24,0.0
2017-09-30,410.0,$-145.96,0.0
2017-06-30,476.0,$-143.13,0.0
2017-03-31,698.0,$-163.99,0.0
2016-12-31,118.0,$-184.60,0.0
2016-09-30,330.0,$-334.22,0.0
2016-06-30,392.0,$50.83,7.71
2016-03-31,586.0,$-359.65,0.0
2015-12-31,840.0,$-314.91,0.0
2015-09-30,982.0,$-537.39,0.0
2015-06-30,1920.0,$-606.03,0.0
2015-03-31,1720.0,$230.30,7.47
2014-12-31,1750.0,$-446.58,0.0
