Cass Information Systems Price to Free Cash Flow Ratio Historical Data,Cass Information Systems Price to Free Cash Flow Ratio Historical Data,Cass Information Systems Price to Free Cash Flow Ratio Historical Data,Cass Information Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.7,,22.58
2024-12-31,40.91,$1.94,21.13
2024-09-30,41.19,$1.09,37.76
2024-06-30,39.51,$1.94,20.31
2024-03-31,47.16,$1.55,30.33
2023-12-31,43.83,$1.64,26.78
2023-09-30,35.99,$2.09,17.23
2023-06-30,37.19,$2.04,18.19
2023-03-31,41.23,$2.57,16.03
2022-12-31,43.36,$2.96,14.63
2022-09-30,32.61,$2.47,13.19
2022-06-30,31.53,$2.42,13.02
2022-03-31,34.15,$1.94,17.6
2021-12-31,36.12,$2.11,17.15
2021-09-30,38.19,$2.47,15.49
2021-06-30,36.96,$2.36,15.65
2021-03-31,41.72,$3.01,13.85
2020-12-31,34.87,$3.14,11.1
2020-09-30,35.84,$2.74,13.09
2020-06-30,34.52,$3.09,11.18
2020-03-31,30.9,$2.83,10.93
2019-12-31,50.45,$2.68,18.81
2019-09-30,46.95,$3.20,14.69
2019-06-30,41.94,$3.20,13.12
2019-03-31,40.69,$2.89,14.06
2018-12-31,45.29,$2.95,15.37
2018-09-30,55.47,$3.01,18.43
2018-06-30,58.41,$2.55,22.91
2018-03-31,50.3,$3.17,15.86
2017-12-31,49.01,$2.36,20.73
2017-09-30,48.37,$2.25,21.52
2017-06-30,49.86,$2.34,21.34
2017-03-31,50.02,$1.96,25.56
2016-12-31,55.48,$2.04,27.15
2016-09-30,42.58,$1.89,22.52
2016-06-30,38.71,$1.95,19.9
2016-03-31,39.02,$1.69,23.11
2015-12-31,38.2,$1.82,20.93
2015-09-30,36.31,$1.73,21.03
2015-06-30,41.37,$1.73,23.85
2015-03-31,41.15,$1.89,21.8
2014-12-31,38.86,$1.86,20.92
2014-09-30,30.09,$1.91,15.74
2014-06-30,35.8,$1.78,20.11
2014-03-31,37.16,$1.90,19.57
2013-12-31,48.34,$1.56,30.91
2013-09-30,38.18,$1.75,21.78
2013-06-30,32.87,$1.87,17.6
2013-03-31,29.86,$1.66,18.03
2012-12-31,29.84,$2.11,14.13
2012-09-30,26.98,$1.72,15.68
2012-06-30,25.77,$1.71,15.08
2012-03-31,25.45,$1.65,15.4
2011-12-31,23.08,$1.57,14.74
2011-09-30,17.91,$1.51,11.82
2011-06-30,21.68,$1.54,14.04
2011-03-31,22.47,$1.64,13.68
2010-12-31,21.6,$1.50,14.43
2010-09-30,19.45,$1.52,12.76
2010-06-30,19.34,$1.28,15.12
2010-03-31,17.51,$1.25,14.03
2009-12-31,17.01,$1.20,14.15
