Oil-Dri Of America Price to Free Cash Flow Ratio Historical Data,Oil-Dri Of America Price to Free Cash Flow Ratio Historical Data,Oil-Dri Of America Price to Free Cash Flow Ratio Historical Data,Oil-Dri Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.1,,20.59
2025-01-31,42.02,$2.29,18.37
2024-10-31,67.56,$1.48,45.74
2024-07-31,64.51,$1.61,40.01
2024-04-30,68.38,$0.83,82.13
2024-01-31,63.87,$1.48,43.2
2023-10-31,56.04,$1.77,31.66
2023-07-31,61.13,$1.46,41.97
2023-04-30,40.99,$1.23,33.38
2023-01-31,34.84,$-0.07,0.0
2022-10-31,28.1,$-0.70,0.0
2022-07-31,28.39,$-0.92,0.0
2022-04-30,23.24,$-0.96,0.0
2022-01-31,31.43,$-0.78,0.0
2021-10-31,31.93,$-0.39,0.0
2021-07-31,32.37,$-0.36,0.0
2021-04-30,31.56,$0.95,33.31
2021-01-31,31.1,$1.12,27.85
2020-10-31,30.4,$1.23,24.7
2020-07-31,30.73,$1.90,16.14
2020-04-30,32.79,$1.24,26.46
2020-01-31,30.83,$1.53,20.2
2019-10-31,30.27,$1.23,24.57
2019-07-31,30.64,$0.81,37.91
2019-04-30,27.31,$0.59,46.46
2019-01-31,22.59,$-0.88,0.0
2018-10-31,26.13,$-0.44,0.0
2018-07-31,35.59,$-0.31,0.0
2018-04-30,32.36,$-0.42,0.0
2018-01-31,32.28,$1.06,30.33
2017-10-31,34.68,$0.96,36.06
2017-07-31,33.95,$0.86,39.67
2017-04-30,33.2,$0.89,37.35
2017-01-31,27.28,$0.29,95.62
2016-10-31,27.22,$0.35,76.98
2016-07-31,30.01,$1.04,28.87
2016-04-30,26.55,$1.52,17.46
2016-01-31,29.68,$1.62,18.29
2015-10-31,24.66,$1.55,15.9
2015-07-31,20.45,$0.79,25.84
2015-04-30,25.4,$0.19,130.46
2015-01-31,23.55,$0.21,110.97
2014-10-31,23.06,$-0.14,0.0
2014-07-31,22.14,$-0.15,0.0
2014-04-30,25.28,$-0.02,0.0
2014-01-31,25.77,$0.25,102.59
2013-10-31,26.5,$0.53,49.91
2013-07-31,23.64,$0.98,24.02
2013-04-30,20.42,$1.28,16.01
2013-01-31,20.59,$1.11,18.6
2012-10-31,16.25,$1.41,11.5
2012-07-31,15.66,$1.16,13.47
2012-04-30,14.98,$0.61,24.76
2012-01-31,14.74,$0.25,58.12
2011-10-31,13.96,$0.02,930.69
2011-07-31,14.27,$-0.04,0.0
2011-04-30,15.12,$0.33,45.64
2011-01-31,12.95,$0.66,19.7
2010-10-31,14.82,$0.54,27.61
2010-07-31,14.63,$1.11,13.16
2010-04-30,13.61,$1.20,11.36
2010-01-31,10.45,$1.08,9.65
2009-10-31,9.96,$0.48,20.91
