Orchid Island Capital Price to Free Cash Flow Ratio Historical Data,Orchid Island Capital Price to Free Cash Flow Ratio Historical Data,Orchid Island Capital Price to Free Cash Flow Ratio Historical Data,Orchid Island Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.23,,8.04
2024-12-31,7.78,$1.02,7.6
2024-09-30,7.97,$-0.16,0.0
2024-06-30,7.74,$0.96,8.06
2024-03-31,8.05,$1.12,7.19
2023-12-31,7.29,$0.18,40.67
2023-09-30,7.0,$0.49,14.29
2023-06-30,8.1,$2.84,2.85
2023-03-31,8.02,$4.43,1.81
2022-12-31,7.52,$7.72,0.97
2022-09-30,5.61,$9.86,0.57
2022-06-30,8.91,$7.25,1.23
2022-03-31,9.7,$5.75,1.69
2021-12-31,12.85,$3.98,3.23
2021-09-30,13.41,$4.20,3.19
2021-06-30,13.69,$5.15,2.66
2021-03-31,15.3,$6.12,2.5
2020-12-31,12.84,$4.12,3.12
2020-09-30,11.87,$4.55,2.61
2020-06-30,10.76,$3.70,2.9
2020-03-31,6.49,$3.89,1.67
2019-12-31,12.19,$4.28,2.85
2019-09-30,11.49,$1.89,6.09
2019-06-30,12.21,$3.12,3.91
2019-03-31,12.17,$4.93,2.47
2018-12-31,11.41,$9.00,1.27
2018-09-30,12.63,$14.68,0.86
2018-06-30,12.69,$14.50,0.88
2018-03-31,11.99,$11.60,1.03
2017-12-31,14.49,$10.35,1.4
2017-09-30,15.24,$11.65,1.31
2017-06-30,14.13,$13.61,1.04
2017-03-31,13.75,$15.16,0.91
2016-12-31,14.33,$9.76,1.47
2016-09-30,13.26,$9.96,1.33
2016-06-30,12.6,$4.32,2.92
2016-03-31,12.2,$5.56,2.19
2015-12-31,11.18,$7.58,1.48
2015-09-30,9.97,$2.51,3.98
2015-06-30,11.52,$8.71,1.32
2015-03-31,13.08,$5.08,2.57
2014-12-31,12.39,$5.89,2.1
2014-09-30,12.12,$9.42,1.29
2014-06-30,11.47,$4.87,2.36
2014-03-31,10.01,$19.17,0.52
2013-12-31,10.49,$16.76,0.63
