Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.68,,42.85
2024-12-31,46.35,$1.21,38.43
2024-09-30,50.42,$1.12,45.06
2024-06-30,48.48,$1.08,45.02
2024-03-31,45.83,$1.08,42.44
2023-12-31,43.1,$1.04,41.55
2023-09-30,36.7,$0.99,37.17
2023-06-30,41.97,$1.00,42.05
2023-03-31,36.66,$0.96,38.32
2022-12-31,35.56,$0.91,38.92
2022-09-30,33.65,$1.01,33.15
2022-06-30,33.79,$0.76,44.37
2022-03-31,33.81,$0.72,47.13
2021-12-31,32.9,$0.91,36.05
2021-09-30,33.8,$0.76,44.45
2021-06-30,32.65,$0.96,33.95
2021-03-31,32.79,$1.04,31.55
2020-12-31,37.14,$0.85,43.45
2020-09-30,34.22,$0.80,42.69
2020-06-30,26.73,$0.79,33.76
2020-03-31,22.75,$0.66,34.36
2019-12-31,20.81,$0.60,34.74
2019-09-30,21.29,$0.62,34.21
2019-06-30,22.35,$0.58,38.3
2019-03-31,25.85,$0.53,48.39
2018-12-31,22.36,$0.56,40.06
2018-09-30,24.95,$0.47,52.67
2018-06-30,21.56,$0.45,48.4
2018-03-31,20.87,$0.46,45.23
2017-12-31,18.97,$0.43,44.08
2017-09-30,18.72,$0.48,38.9
2017-06-30,16.47,$0.46,35.57
2017-03-31,14.98,$0.44,34.35
2016-12-31,13.59,$0.40,34.2
2016-09-30,11.7,$0.36,32.74
2016-06-30,11.65,$0.33,34.81
2016-03-31,10.76,$0.32,33.88
2015-12-31,10.23,$0.32,31.54
2015-09-30,10.55,$0.30,35.07
2015-06-30,11.17,$0.33,34.24
2015-03-31,9.65,$0.34,28.39
2014-12-31,8.58,$0.34,25.21
2014-09-30,7.54,$0.33,22.52
2014-06-30,7.7,$0.32,23.78
2014-03-31,7.73,$0.30,26.04
2013-12-31,7.72,$0.29,26.35
2013-09-30,6.73,$0.26,25.8
2013-06-30,6.55,$0.24,26.89
2013-03-31,6.19,$0.25,24.71
2012-12-31,5.54,$0.25,22.24
2012-09-30,5.84,$0.29,20.16
2012-06-30,5.57,$0.28,20.23
2012-03-31,5.28,$0.28,18.62
2011-12-31,5.49,$0.28,19.92
2011-09-30,4.61,$0.26,18.02
2011-06-30,5.0,$0.25,20.21
2011-03-31,4.96,$0.23,21.74
2010-12-31,4.81,$0.22,21.69
2010-09-30,3.79,$0.20,19.26
2010-06-30,3.34,$0.18,18.29
2010-03-31,3.48,$0.21,16.75
2009-12-31,3.08,$0.19,16.34
