Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data,Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data,Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data,Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.42,,5.36
2024-09-30,6.66,$1.20,5.56
2024-06-30,7.34,$0.84,8.69
2024-03-31,5.02,$1.26,3.98
2023-12-31,4.66,$1.38,3.37
2023-09-30,4.5,$1.20,3.74
2023-06-30,3.39,$1.39,2.44
2023-03-31,4.09,$1.05,3.89
2022-12-31,4.55,$1.12,4.07
2022-09-30,2.53,$1.21,2.08
2022-06-30,2.3,$0.99,2.32
2022-03-31,3.58,$0.94,3.8
2021-06-30,4.08,$1.32,3.09
2021-03-31,3.98,$1.26,3.16
2020-12-31,4.59,$1.45,3.18
2020-09-30,3.99,$1.61,2.47
2020-06-30,4.79,$1.63,2.94
2020-03-31,3.87,$1.62,2.4
2019-12-31,4.83,$1.22,3.95
2019-09-30,4.64,$0.93,4.99
2019-06-30,4.4,$0.70,6.29
2019-03-31,4.27,$0.80,5.36
2018-12-31,4.48,$0.70,6.39
2018-09-30,3.76,$0.85,4.43
2018-06-30,4.98,$0.74,6.7
2018-03-31,7.1,$0.15,47.07
2017-12-31,7.57,$0.13,56.56
2017-09-30,6.35,$-0.51,0.0
2017-06-30,5.7,$-0.37,0.0
2017-03-31,5.54,$-0.71,0.0
2016-12-31,4.61,$-0.80,0.0
2016-09-30,5.39,$-0.51,0.0
2016-06-30,6.12,$-0.38,0.0
2016-03-31,7.03,$0.24,29.77
2015-12-31,5.68,$0.01,0.0
2015-09-30,5.8,$0.23,25.66
2015-06-30,7.68,$-0.03,0.0
2015-03-31,7.57,$-0.07,0.0
2014-12-31,8.79,$0.16,53.63
2014-09-30,7.64,$0.28,26.95
2014-06-30,9.07,$0.38,23.71
2014-03-31,8.0,$0.42,19.04
2013-12-31,7.76,$0.44,17.59
2013-09-30,8.57,$0.61,14.13
2013-06-30,8.35,$0.54,15.46
2013-03-31,9.67,$0.55,17.65
2012-12-31,9.38,$0.50,18.73
2012-09-30,8.8,$0.12,74.71
2012-06-30,7.3,$0.17,42.49
2012-03-31,7.32,$0.24,29.96
2011-12-31,6.84,$0.31,22.07
2011-09-30,6.56,$0.53,12.37
2011-06-30,7.88,$0.43,18.2
2011-03-31,8.74,$0.47,18.76
2010-12-31,9.96,$0.41,24.43
2010-09-30,9.74,$0.27,36.38
2010-06-30,7.55,$0.36,21.1
2010-03-31,8.39,$0.14,59.94
2009-12-31,9.75,$0.29,33.61
