Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.0,,28.63
2024-12-31,57.35,$1.78,32.2
2024-09-30,79.75,$2.77,28.79
2024-06-30,90.37,$3.72,24.3
2024-03-31,88.18,$4.76,18.53
2023-12-31,88.17,$5.11,17.24
2023-09-30,75.91,$5.71,13.3
2023-06-30,86.69,$5.95,14.58
2023-03-31,80.67,$5.63,14.34
2022-12-31,67.35,$5.70,11.82
2022-09-30,58.25,$4.98,11.7
2022-06-30,55.2,$4.71,11.71
2022-03-31,71.12,$4.39,16.19
2021-12-31,82.12,$4.05,20.26
2021-09-30,72.19,$3.55,20.33
2021-06-30,70.21,$3.39,20.69
2021-03-31,72.58,$3.39,21.44
2020-12-31,64.43,$3.32,19.39
2020-09-30,47.8,$3.21,14.91
2020-06-30,48.81,$3.14,15.55
2020-03-31,31.3,$2.89,10.84
2019-12-31,48.18,$2.84,16.95
2019-09-30,42.58,$3.09,13.8
2019-06-30,39.57,$3.17,12.47
2019-03-31,37.69,$2.89,13.03
2018-12-31,32.54,$2.70,12.05
2018-09-30,35.52,$2.45,14.48
2018-06-30,40.76,$2.21,18.41
2018-03-31,40.79,$2.46,16.6
2017-12-31,39.07,$2.66,14.69
2017-09-30,39.75,$1.52,26.2
2017-06-30,34.02,$2.33,14.6
2017-03-31,32.38,$2.14,15.1
2016-12-31,28.01,$1.88,14.86
2016-09-30,26.99,$2.78,9.7
2016-06-30,21.92,$1.66,13.22
2016-03-31,20.65,$1.52,13.59
2015-12-31,19.77,$1.42,13.91
2015-09-30,18.17,$1.29,14.12
2015-06-30,19.84,$1.35,14.69
2015-03-31,20.3,$1.28,15.88
2014-12-31,18.6,$1.34,13.86
2014-09-30,19.31,$1.28,15.08
2014-06-30,19.81,$1.23,16.04
2014-03-31,19.24,$1.33,14.44
2013-12-31,17.88,$1.21,14.83
2013-09-30,15.97,$1.23,13.02
2013-06-30,14.63,$1.07,13.68
2013-03-31,14.3,$0.99,14.4
2012-12-31,12.56,$1.00,12.51
2012-09-30,12.47,$0.82,15.13
2012-06-30,12.47,$1.01,12.3
2012-03-31,13.87,$0.86,16.13
2011-12-31,13.53,$0.91,14.79
2011-09-30,11.38,$1.05,10.85
2011-06-30,13.72,$1.05,13.03
2011-03-31,13.63,$1.18,11.59
2010-12-31,12.27,$1.08,11.36
2010-09-30,11.05,$1.05,10.56
2010-06-30,9.64,$1.04,9.26
2010-03-31,9.67,$1.08,8.95
2009-12-31,9.85,$1.39,7.07
