Tiptree Financial Price to Free Cash Flow Ratio Historical Data,Tiptree Financial Price to Free Cash Flow Ratio Historical Data,Tiptree Financial Price to Free Cash Flow Ratio Historical Data,Tiptree Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.51,,3.77
2024-12-31,20.86,$6.24,3.34
2024-09-30,19.57,$3.83,5.11
2024-06-30,16.49,$3.72,4.43
2024-03-31,17.28,$2.12,8.14
2023-12-31,18.96,$1.53,12.42
2023-09-30,16.76,$4.13,4.06
2023-06-30,15.01,$5.40,2.78
2023-03-31,14.57,$9.42,1.55
2022-12-31,13.84,$12.73,1.09
2022-09-30,10.76,$11.35,0.95
2022-06-30,10.58,$9.67,1.09
2022-03-31,12.76,$9.60,1.33
2021-12-31,13.69,$5.98,2.29
2021-09-30,9.89,$7.51,1.32
2021-06-30,9.15,$6.65,1.38
2021-03-31,8.77,$4.09,2.14
2020-12-31,4.9,$4.04,1.21
2020-09-30,4.79,$2.09,2.29
2020-06-30,6.2,$2.42,2.56
2020-03-31,4.98,$1.74,2.87
2019-12-31,7.7,$0.78,9.83
2019-09-30,6.85,$1.16,5.92
2019-06-30,5.89,$1.65,3.56
2019-03-31,5.88,$1.57,3.74
2018-12-31,5.17,$2.06,2.5
2018-09-30,6.02,$1.94,3.1
2018-06-30,6.21,$0.94,6.58
2018-03-31,5.77,$0.46,12.43
2017-12-31,5.38,$1.59,3.39
2017-09-30,5.63,$3.34,1.69
2017-06-30,6.32,$2.58,2.45
2017-03-31,6.51,$2.26,2.88
2016-12-31,5.46,$1.28,4.28
2016-09-30,5.25,$-12.89,0.0
2016-06-30,4.83,$-11.63,0.0
2016-03-31,5.0,$-11.87,0.0
2015-12-31,5.36,$-11.99,0.0
2015-09-30,5.56,$-1.67,0.0
2015-06-30,6.28,$-4.60,0.0
2015-03-31,5.7,$-0.90,0.0
2014-12-31,6.96,$1.35,5.15
2014-09-30,7.1,$-1.23,0.0
2014-06-30,7.47,$1.08,6.93
2014-03-31,6.44,$3.41,1.89
2013-12-31,6.31,$1.95,3.23
2013-09-30,6.4,$5.66,1.13
2013-06-30,6.0,$9.93,0.6
2013-03-31,5.66,$4.76,1.19
2012-12-31,6.29,$3.57,1.76
2012-09-30,5.83,$4.42,1.32
2012-06-30,5.63,$0.35,15.98
2012-03-31,5.46,$0.37,14.58
2011-12-31,5.04,$0.73,6.86
2011-09-30,5.05,$0.08,62.45
