Draganfly Price to Free Cash Flow Ratio Historical Data,Draganfly Price to Free Cash Flow Ratio Historical Data,Draganfly Price to Free Cash Flow Ratio Historical Data,Draganfly Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.13,,0.0
2024-09-30,2.55,$-2.14,0.0
2024-06-30,0.23,$-3.38,0.0
2024-03-31,0.19,$-4.66,0.0
2023-12-31,0.48,$-6.80,0.0
2023-09-30,0.77,$-9.05,0.0
2023-06-30,1.28,$-10.07,0.0
2023-03-31,1.28,$-10.34,0.0
2022-12-31,0.75,$-9.41,0.0
2022-09-30,0.7,$-17.73,0.0
