Alpha Tau Medical Price to Free Cash Flow Ratio Historical Data,Alpha Tau Medical Price to Free Cash Flow Ratio Historical Data,Alpha Tau Medical Price to Free Cash Flow Ratio Historical Data,Alpha Tau Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.6,,0.0
2024-03-31,2.95,$-0.39,0.0
2023-03-31,2.87,$-0.25,0.0
2022-12-31,3.18,$-0.39,0.0
2022-09-30,5.84,$-0.34,0.0
2022-06-30,9.01,$-0.35,0.0
2022-03-31,11.8,$-0.42,0.0
2021-12-31,9.82,$-0.36,0.0
