Oblong Price to Free Cash Flow Ratio Historical Data,Oblong Price to Free Cash Flow Ratio Historical Data,Oblong Price to Free Cash Flow Ratio Historical Data,Oblong Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.33,,0.0
2024-09-30,4.23,$-14.83,0.0
2024-06-30,7.07,$10.88,0.65
2024-03-31,5.44,$-6.52,0.0
2023-12-31,7.92,$-21.40,0.0
2023-09-30,16.8,$-29.90,0.0
2023-06-30,56.4,$-74.26,0.0
2023-03-31,65.6,$-84.16,0.0
2022-12-31,70.56,$-114.58,0.0
2022-09-30,89.88,$-152.25,0.0
2022-06-30,186.0,$-167.37,0.0
2022-03-31,393.36,$-179.43,0.0
2021-12-31,618.0,$-174.95,0.0
2021-09-30,1260.0,$-335.71,0.0
2021-06-30,2040.0,$-468.66,0.0
2021-03-31,2988.0,$-463.26,0.0
2020-12-31,3084.0,$-713.22,0.0
2020-09-30,1380.0,$-802.25,0.0
2020-06-30,893.94,$-600.33,0.0
2020-03-31,723.0,$-630.45,0.0
2019-12-31,834.0,$-387.20,0.0
2019-09-30,577.5,$-152.65,0.0
2019-06-30,642.0,$-185.41,0.0
2019-03-31,816.0,$-167.89,0.0
2018-12-31,756.0,$-186.35,0.0
2018-09-30,987.6,$-54.42,0.0
2018-06-30,1227.6,$103.25,11.89
2018-03-31,1327.8,$149.13,8.9
2017-12-31,2160.0,$213.60,10.11
2017-09-30,1503.0,$122.92,12.23
2017-06-30,1692.0,$-60.08,0.0
2017-03-31,1764.0,$-83.85,0.0
2016-12-31,1596.0,$-33.51,0.0
2016-09-30,1680.6,$-58.11,0.0
2016-06-30,1770.6,$-4.53,0.0
2016-03-31,2340.0,$34.01,68.81
2015-12-31,2985.0,$-1.18,0.0
2015-09-30,3474.0,$-6.43,0.0
2015-06-30,4875.0,$-70.62,0.0
2015-03-31,5452.8,$-71.56,0.0
2014-12-31,6600.0,$-66.53,0.0
2014-09-30,7800.0,$78.79,99.0
2014-06-30,9000.0,$71.84,125.27
2014-03-31,10080.0,$270.98,37.2
2013-12-31,8280.0,$284.08,29.15
2013-09-30,8040.0,$179.71,44.74
2013-06-30,4080.0,$272.36,14.98
2013-03-31,8820.0,$-11.26,0.0
2012-12-31,11940.0,$20.70,576.87
2012-09-30,12720.0,$162.76,78.15
2012-06-30,12660.0,$133.86,94.58
2012-03-31,16200.0,$149.15,108.62
2011-12-31,14100.0,$-45.18,0.0
2011-09-30,14040.0,$-347.36,0.0
2011-06-30,12480.0,$-455.79,0.0
2011-03-31,12480.0,$-932.09,0.0
2010-12-31,15120.0,$-941.55,0.0
2010-09-30,12000.0,"$-1,100.19",0.0
2010-06-30,13200.0,$-895.97,0.0
2010-03-31,15120.0,$-634.97,0.0
2009-12-31,16560.0,$-493.44,0.0
