Chatham Lodging Trust (REIT) Price to Free Cash Flow Ratio Historical Data,Chatham Lodging Trust (REIT) Price to Free Cash Flow Ratio Historical Data,Chatham Lodging Trust (REIT) Price to Free Cash Flow Ratio Historical Data,Chatham Lodging Trust (REIT) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.64,,8.24
2024-12-31,8.95,$0.93,9.65
2024-09-30,8.52,$0.27,31.99
2024-06-30,8.45,$0.37,22.89
2024-03-31,9.95,$1.34,7.43
2023-12-31,10.47,$0.99,10.59
2023-09-30,9.29,$1.28,7.27
2023-06-30,9.02,$1.24,7.29
2023-03-31,10.04,$2.87,3.5
2022-12-31,11.66,$2.13,5.48
2022-09-30,9.32,$1.88,4.96
2022-06-30,9.87,$0.29,33.52
2022-03-31,13.03,$-1.60,0.0
2021-12-31,12.96,$-1.08,0.0
2021-09-30,11.57,$0.01,832.58
2021-06-30,12.16,$1.07,11.42
2021-03-31,12.43,$0.55,22.54
2020-12-31,10.2,$0.64,15.97
2020-09-30,7.2,$-0.33,0.0
2020-06-30,5.78,$-0.02,0.0
2020-03-31,5.61,$0.86,6.5
2019-12-31,17.08,$1.09,15.69
2019-09-30,16.6,$-0.06,0.0
2019-06-30,16.94,$-0.32,0.0
2019-03-31,16.98,$-0.44,0.0
2018-12-31,15.35,$-0.33,0.0
2018-09-30,17.92,$-1.02,0.0
2018-06-30,17.93,$-1.79,0.0
2018-03-31,15.92,$-1.83,0.0
2017-12-31,18.61,$-1.73,0.0
2017-09-30,17.17,$0.20,83.94
2017-06-30,15.93,$1.58,10.06
2017-03-31,15.4,$1.70,9.08
2016-12-31,15.76,$1.69,9.31
2016-09-30,14.51,$1.62,8.97
2016-06-30,16.32,$-0.49,0.0
2016-03-31,15.67,$-0.38,0.0
2015-12-31,14.68,$-2.82,0.0
2015-09-30,15.19,$-6.16,0.0
2015-06-30,18.48,$-4.79,0.0
2015-03-31,20.32,$-15.10,0.0
2014-12-31,19.81,$-12.84,0.0
2014-09-30,15.65,$-15.11,0.0
2014-06-30,14.69,$-15.92,0.0
2014-03-31,13.41,$-8.07,0.0
2013-12-31,13.43,$-10.07,0.0
2013-09-30,11.61,$-6.69,0.0
2013-06-30,11.04,$-5.54,0.0
2013-03-31,11.18,$-3.36,0.0
2012-12-31,9.64,$-1.57,0.0
2012-09-30,8.59,$0.07,131.91
2012-06-30,8.71,$-4.49,0.0
2012-03-31,7.63,$-4.81,0.0
2011-12-31,6.4,$-4.95,0.0
2011-09-30,5.79,$11.17,0.52
2011-06-30,9.24,$9.95,0.93
2011-03-31,9.21,$-0.28,0.0
