Canadian National Railway Price to Free Cash Flow Ratio Historical Data,Canadian National Railway Price to Free Cash Flow Ratio Historical Data,Canadian National Railway Price to Free Cash Flow Ratio Historical Data,Canadian National Railway Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,97.74,,26.98
2024-12-31,101.51,$3.62,28.02
2024-09-30,116.23,$4.22,27.56
2024-06-30,116.57,$4.20,27.73
2024-03-31,129.33,$4.36,29.66
2023-12-31,122.76,$4.39,27.95
2023-09-30,105.33,$4.12,25.57
2023-06-30,117.09,$4.93,23.73
2023-03-31,113.51,$4.51,25.17
2022-12-31,113.83,$4.38,26.0
2022-09-30,102.96,$4.20,24.49
2022-06-30,106.73,$4.46,23.9
2022-03-31,126.65,$4.51,28.09
2021-12-31,115.47,$4.58,25.19
2021-09-30,108.28,$4.45,24.36
2021-06-30,98.41,$3.29,29.92
2021-03-31,107.67,$3.45,31.18
2020-12-31,101.54,$3.46,29.37
2020-09-30,98.0,$2.77,35.35
2020-06-30,81.19,$2.93,27.67
2020-03-31,70.83,$2.45,28.97
2019-12-31,82.06,$2.15,38.24
2019-09-30,81.16,$2.33,34.8
2019-06-30,83.16,$2.16,38.46
2019-03-31,80.11,$2.65,30.2
2018-12-31,66.05,$2.70,24.47
2018-09-30,79.69,$2.39,33.29
2018-06-30,72.26,$2.63,27.45
2018-03-31,64.37,$2.40,26.86
2017-12-31,72.27,$2.90,24.95
2017-09-30,72.28,$3.24,22.28
2017-06-30,70.42,$2.98,23.64
2017-03-31,63.98,$2.81,22.75
2016-12-31,58.08,$2.51,23.12
2016-09-30,56.13,$2.46,22.8
2016-06-30,50.46,$2.51,20.12
2016-03-31,53.11,$2.30,23.07
2015-12-31,47.29,$2.40,19.74
2015-09-30,47.83,$1.90,25.23
2015-06-30,48.45,$1.96,24.73
2015-03-31,55.86,$2.42,23.13
2014-12-31,57.36,$2.31,24.81
2014-09-30,58.87,$2.51,23.49
2014-06-30,53.78,$2.41,22.35
2014-03-31,46.32,$2.26,20.5
2013-12-31,46.8,$1.89,24.79
2013-09-30,41.45,$1.65,25.18
2013-06-30,39.6,$1.64,24.1
2013-03-31,40.67,$1.83,22.24
2012-12-31,36.75,$1.90,19.35
2012-09-30,35.48,$1.73,20.5
2012-06-30,33.79,$1.87,18.09
2012-03-31,31.66,$1.55,20.43
2011-12-31,31.16,$1.95,16.02
2011-09-30,26.3,$2.30,11.42
2011-06-30,31.42,$1.67,18.8
2011-03-31,29.47,$1.67,17.63
2010-12-31,25.91,$1.65,15.69
2010-09-30,24.85,$2.35,10.58
2010-06-30,22.19,$1.70,13.03
2010-03-31,23.32,$1.44,16.24
2009-12-31,20.82,$1.03,20.27
