Borealis Foods Price to Free Cash Flow Ratio Historical Data,Borealis Foods Price to Free Cash Flow Ratio Historical Data,Borealis Foods Price to Free Cash Flow Ratio Historical Data,Borealis Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.05,,10.46
2024-09-30,5.72,$0.58,9.89
2024-06-30,9.14,$0.24,38.24
2024-03-31,5.85,$-0.30,0.0
2023-12-31,11.31,$-0.51,0.0
2023-09-30,11.04,$-2.14,0.0
2023-06-30,10.71,$-1.68,0.0
2023-03-31,10.47,$-1.06,0.0
2022-12-31,10.33,$-0.46,0.0
2022-09-30,10.11,$-0.14,0.0
