U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data,U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data,U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data,U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.69,,17.11
2024-12-31,88.71,$4.37,20.32
2024-09-30,84.22,$5.15,16.34
2024-06-30,91.5,$4.57,20.04
2024-03-31,111.27,$4.58,24.29
2023-12-31,91.44,$5.12,17.85
2023-09-30,89.61,$4.47,20.05
2023-06-30,118.08,$4.61,25.64
2023-03-31,94.88,$3.88,24.45
2022-12-31,78.17,$3.87,20.18
2022-09-30,72.99,$3.68,19.85
2022-06-30,104.33,$4.55,22.91
2022-03-31,94.64,$4.74,19.95
2021-12-31,90.54,$5.29,17.12
2021-09-30,104.4,$6.04,17.29
2021-06-30,108.99,$6.29,17.33
2021-03-31,97.63,$7.38,13.23
2020-12-31,112.44,$7.20,15.63
2020-09-30,81.24,$6.42,12.66
2020-06-30,75.76,$5.64,13.44
2020-03-31,64.52,$4.29,15.05
2019-12-31,106.51,$4.10,26.0
2019-09-30,121.29,$4.42,27.45
2019-06-30,113.62,$4.90,23.17
2019-03-31,97.13,$4.95,19.62
2018-12-31,94.41,$5.20,18.17
2018-09-30,109.19,$4.97,21.97
2018-06-30,88.2,$4.59,19.24
2018-03-31,74.51,$4.05,18.4
2017-12-31,65.99,$3.94,16.75
2017-09-30,56.0,$3.57,15.7
2017-06-30,54.85,$2.73,20.09
2017-03-31,58.94,$3.41,17.3
2016-12-31,63.36,$3.43,18.48
2016-09-30,56.44,$3.25,17.39
2016-06-30,54.04,$3.41,15.84
2016-03-31,44.5,$3.43,12.98
2015-12-31,47.87,$2.53,18.94
2015-09-30,39.91,$2.88,13.85
2015-06-30,48.55,$2.74,17.71
2015-03-31,41.99,$2.86,14.66
2014-12-31,36.97,$2.97,12.46
2014-09-30,31.09,$3.27,9.52
2014-06-30,29.94,$3.40,8.81
2014-03-31,30.15,$3.30,9.15
2013-12-31,30.64,$3.36,9.11
2013-09-30,26.92,$2.87,9.39
2013-06-30,23.86,$3.03,7.88
2013-03-31,23.09,$2.89,8.0
2012-12-31,23.58,$2.95,8.0
2012-09-30,23.22,$3.16,7.35
2012-06-30,21.3,$2.94,7.24
2012-03-31,19.24,$2.41,7.97
2011-12-31,16.35,$2.46,6.65
2011-09-30,15.33,$2.00,7.66
2011-06-30,20.38,$2.29,8.91
2011-03-31,18.35,$2.27,8.07
2010-12-31,16.16,$2.34,6.91
2010-09-30,13.63,$2.34,5.83
2010-06-30,13.76,$2.23,6.17
2010-03-31,14.18,$2.36,6.01
2009-12-31,13.8,$2.30,6.01
