Ituran Location And Control Price to Free Cash Flow Ratio Historical Data,Ituran Location And Control Price to Free Cash Flow Ratio Historical Data,Ituran Location And Control Price to Free Cash Flow Ratio Historical Data,Ituran Location And Control Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.92,,12.18
2024-09-30,26.54,$3.03,8.75
2024-06-30,24.29,$3.15,7.71
2024-03-31,27.15,$2.87,9.48
2023-12-31,26.09,$3.16,8.26
2023-09-30,28.38,$2.69,10.56
2023-06-30,22.04,$2.20,10.0
2023-03-31,20.43,$1.63,12.54
2022-12-31,19.7,$0.96,20.45
2022-09-30,21.62,$1.08,19.99
2022-06-30,22.55,$1.06,21.26
2022-03-31,21.07,$1.66,12.71
2021-12-31,24.27,$1.93,12.57
2021-09-30,22.98,$2.07,11.12
2021-06-30,24.52,$2.28,10.75
2021-03-31,19.01,$2.37,8.02
2020-12-31,16.69,$2.41,6.94
2020-09-30,12.2,$2.34,5.22
2020-06-30,14.04,$2.17,6.48
2020-03-31,12.45,$1.96,6.36
2019-12-31,21.65,$1.98,10.95
2019-09-30,21.16,$1.96,10.81
2019-06-30,25.45,$2.08,12.26
2019-03-31,28.67,$1.84,15.61
2018-12-31,26.73,$1.51,17.66
2018-09-30,28.47,$1.39,20.52
2018-06-30,24.94,$1.26,19.83
2018-03-31,25.36,$1.37,18.51
2017-12-31,27.69,$1.34,20.69
2017-09-30,28.99,$1.37,21.21
2017-06-30,25.0,$1.36,18.32
2017-03-31,24.45,$1.21,20.25
2016-12-31,20.72,$1.34,15.43
2016-09-30,20.53,$1.05,19.58
2016-06-30,17.48,$0.99,17.68
2016-03-31,15.03,$0.88,17.02
2015-12-31,14.23,$0.84,16.96
2015-09-30,15.31,$0.79,19.33
2015-06-30,18.47,$0.86,21.4
2015-03-31,16.2,$0.87,18.6
2014-12-31,15.99,$1.09,14.73
2014-09-30,15.19,$1.51,10.09
2014-06-30,17.34,$1.41,12.29
2014-03-31,17.62,$1.60,11.0
2013-12-31,15.06,$1.58,9.53
2013-09-30,12.74,$1.23,10.39
2013-06-30,11.54,$1.23,9.38
2013-03-31,10.64,$1.27,8.39
2012-12-31,9.01,$1.11,8.15
2012-09-30,7.67,$1.36,5.64
2012-06-30,7.07,$1.42,4.97
2012-03-31,8.57,$1.38,6.22
2011-12-31,8.02,$1.45,5.55
2011-09-30,6.84,$2.17,3.15
2011-06-30,8.28,$2.03,4.07
2011-03-31,8.81,$1.75,5.04
2010-12-31,9.65,$1.66,5.83
2010-09-30,7.94,$0.84,9.43
2010-06-30,8.32,$0.97,8.57
2010-03-31,8.78,$0.93,9.47
2009-12-31,6.44,$1.06,6.1
