Calavo Growers Price to Free Cash Flow Ratio Historical Data,Calavo Growers Price to Free Cash Flow Ratio Historical Data,Calavo Growers Price to Free Cash Flow Ratio Historical Data,Calavo Growers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.31,,24.39
2025-01-31,22.89,$1.00,22.97
2024-10-31,26.58,$1.21,22.05
2024-07-31,23.62,$0.85,27.75
2024-04-30,26.65,$-0.74,0.0
2024-01-31,25.7,$-0.84,0.0
2023-10-31,24.87,$-1.41,0.0
2023-07-31,36.89,$-1.30,0.0
2023-04-30,31.15,$0.60,51.69
2023-01-31,31.11,$1.63,19.03
2022-10-31,33.31,$2.28,14.61
2022-07-31,38.81,$1.90,20.39
2022-04-30,34.9,$0.96,36.43
2022-01-31,39.88,$-0.33,0.0
2021-10-31,37.65,$0.12,310.94
2021-07-31,52.77,$0.47,111.83
2021-04-30,73.18,$1.67,43.95
2021-01-31,71.33,$2.04,35.05
2020-10-31,61.87,$1.00,61.98
2020-07-31,53.25,$1.06,50.25
2020-04-30,53.46,$1.55,34.48
2020-01-31,70.61,$2.22,31.87
2019-10-31,78.91,$3.15,25.07
2019-07-31,80.46,$3.06,26.32
2019-04-30,87.17,$2.29,38.12
2019-01-31,74.02,$2.13,34.75
2018-10-31,87.35,$1.90,45.91
2018-07-31,83.3,$2.62,31.83
2018-04-30,84.38,$2.33,36.28
2018-01-31,78.34,$2.84,27.55
2017-10-31,65.52,$1.01,65.09
2017-07-31,65.83,$0.06,1169.23
2017-04-30,58.32,$0.70,83.12
2017-01-31,49.16,$0.34,144.42
2016-10-31,51.86,$2.30,22.54
2016-07-31,57.68,$2.28,25.28
2016-04-30,50.13,$1.62,30.9
2016-01-31,45.38,$1.68,27.03
2015-10-31,44.38,$1.10,40.17
2015-07-31,47.06,$0.67,70.19
2015-04-30,43.72,$0.76,57.32
2015-01-31,34.63,$0.97,35.65
2014-10-31,41.25,$0.75,54.92
2014-07-31,29.31,$0.91,32.38
2014-04-30,26.42,$0.90,29.46
2014-01-31,25.82,$-0.05,0.0
2013-10-31,24.66,$0.47,52.59
2013-07-31,22.56,$0.84,26.7
2013-04-30,23.56,$1.22,19.37
2013-01-31,20.69,$1.01,20.54
2012-10-31,19.09,$0.94,20.21
2012-07-31,21.82,$1.42,15.33
2012-04-30,23.19,$0.51,45.11
2012-01-31,22.0,$0.73,30.09
2011-10-31,17.88,$0.21,86.76
2011-07-31,16.38,$-0.58,0.0
2011-04-30,16.64,$-0.08,0.0
2011-01-31,18.29,$0.56,32.85
2010-10-31,16.95,$1.04,16.29
2010-07-31,16.34,$1.45,11.31
2010-04-30,13.42,$1.01,13.25
2010-01-31,12.97,$0.84,15.5
2009-10-31,13.43,$1.27,10.61
