Quantum-Si Price to Free Cash Flow Ratio Historical Data,Quantum-Si Price to Free Cash Flow Ratio Historical Data,Quantum-Si Price to Free Cash Flow Ratio Historical Data,Quantum-Si Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.41,,0.0
2024-12-31,2.7,$-0.65,0.0
2024-09-30,0.88,$-0.63,0.0
2024-06-30,1.05,$-0.62,0.0
2024-03-31,1.97,$-0.65,0.0
2023-12-31,2.01,$-0.70,0.0
2023-09-30,1.66,$-0.72,0.0
2023-06-30,1.79,$-0.73,0.0
2023-03-31,1.76,$-0.77,0.0
2022-12-31,1.83,$-0.73,0.0
2022-09-30,2.75,$-1.10,0.0
2022-06-30,2.32,$-0.46,0.0
2022-03-31,4.68,$-1.10,0.0
