Mustang Bio Price to Free Cash Flow Ratio Historical Data,Mustang Bio Price to Free Cash Flow Ratio Historical Data,Mustang Bio Price to Free Cash Flow Ratio Historical Data,Mustang Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.44,,0.0
2024-09-30,0.24,$-43.97,0.0
2024-06-30,0.47,$-83.57,0.0
2024-03-31,1.04,$-166.66,0.0
2023-12-31,1.35,$-253.03,0.0
2023-09-30,2.07,$-329.08,0.0
2023-06-30,6.21,$-394.18,0.0
2023-03-31,5.5,$-429.75,0.0
2022-12-31,5.92,$-440.16,0.0
2022-09-30,7.04,$-482.73,0.0
2022-06-30,8.78,$-468.42,0.0
2022-03-31,15.15,$-462.77,0.0
2021-12-31,24.9,$-491.76,0.0
2021-09-30,40.35,$-520.71,0.0
2021-06-30,49.8,$-501.54,0.0
2021-03-31,49.8,$-518.10,0.0
2020-12-31,56.78,$-559.40,0.0
2020-09-30,47.25,$-647.21,0.0
2020-06-30,47.7,$-725.17,0.0
2020-03-31,40.2,$-755.59,0.0
2019-12-31,61.2,$-746.80,0.0
2019-09-30,48.9,$-674.05,0.0
2019-06-30,55.2,$-664.39,0.0
2019-03-31,51.15,$-731.02,0.0
2018-12-31,44.1,$-726.40,0.0
2018-09-30,89.25,$-706.16,0.0
2018-06-30,103.35,$-793.76,0.0
