Culp Price to Free Cash Flow Ratio Historical Data,Culp Price to Free Cash Flow Ratio Historical Data,Culp Price to Free Cash Flow Ratio Historical Data,Culp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.33,,0.0
2025-01-31,5.39,$-1.05,0.0
2024-10-31,5.31,$-0.73,0.0
2024-07-31,5.06,$-0.61,0.0
2024-04-30,4.56,$-0.93,0.0
2024-01-31,4.96,$-0.49,0.0
2023-10-31,5.47,$-0.45,0.0
2023-07-31,5.7,$-0.26,0.0
2023-04-30,5.46,$0.50,10.88
2023-01-31,5.2,$-0.16,0.0
2022-10-31,5.02,$-1.01,0.0
2022-07-31,5.02,$-1.47,0.0
2022-04-30,6.46,$-1.89,0.0
2022-01-31,8.92,$-1.64,0.0
2021-10-31,12.88,$-0.90,0.0
2021-07-31,14.45,$0.35,41.05
2021-04-30,13.56,$1.20,11.27
2021-01-31,14.68,$1.80,8.14
2020-10-31,11.72,$1.26,9.29
2020-07-31,10.4,$0.80,12.98
2020-04-30,6.59,$0.09,77.22
2020-01-31,11.53,$0.12,98.07
2019-10-31,14.02,$1.04,13.54
2019-07-31,16.18,$1.31,12.31
2019-04-30,18.38,$1.00,18.44
2019-01-31,17.02,$0.91,18.63
2018-10-31,20.63,$1.59,12.99
2018-07-31,22.02,$1.32,16.73
2018-04-30,26.14,$1.54,16.96
2018-01-31,28.05,$1.74,16.14
2017-10-31,27.88,$1.34,20.8
2017-07-31,26.32,$1.55,16.97
2017-04-30,27.92,$1.79,15.64
2017-01-31,27.94,$1.94,14.41
2016-10-31,24.24,$1.74,13.95
2016-07-31,24.64,$1.79,13.73
2016-04-30,22.44,$1.37,16.33
2016-01-31,21.59,$0.93,23.1
2015-10-31,25.52,$1.02,25.03
2015-07-31,25.67,$0.97,26.37
2015-04-30,21.61,$1.32,16.39
2015-01-31,16.76,$1.61,10.42
2014-10-31,15.78,$1.41,11.16
2014-07-31,15.03,$1.25,11.98
2014-04-30,14.6,$1.24,11.79
2014-01-31,16.31,$1.05,15.53
2013-10-31,15.57,$1.17,13.26
2013-07-31,15.45,$1.41,11.0
2013-04-30,13.01,$1.02,12.78
2013-01-31,14.0,$1.22,11.5
2012-10-31,9.77,$0.95,10.3
2012-07-31,7.71,$0.64,12.05
2012-04-30,8.8,$0.50,17.65
2012-01-31,7.0,$0.52,13.49
2011-10-31,6.6,$0.85,7.79
2011-07-31,6.85,$0.53,12.86
2011-04-30,7.74,$0.65,11.98
2011-01-31,7.68,$0.56,13.63
2010-10-31,7.79,$0.24,32.29
2010-07-31,8.01,$0.56,14.39
2010-04-30,9.17,$1.13,8.13
2010-01-31,10.0,$1.28,7.83
2009-10-31,4.42,$2.71,1.63
