Black Stone Minerals Price to Free Cash Flow Ratio Historical Data,Black Stone Minerals Price to Free Cash Flow Ratio Historical Data,Black Stone Minerals Price to Free Cash Flow Ratio Historical Data,Black Stone Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.34,,8.37
2024-12-31,14.6,$1.83,7.97
2024-09-30,14.73,$1.88,7.82
2024-06-30,14.9,$1.98,7.53
2024-03-31,14.85,$2.18,6.8
2023-12-31,14.38,$2.29,6.27
2023-09-30,15.11,$2.52,6.0
2023-06-30,13.61,$2.45,5.55
2023-03-31,12.98,$2.10,6.19
2022-12-31,13.55,$1.89,7.18
2022-09-30,12.26,$1.55,7.93
2022-06-30,10.43,$1.33,7.81
2022-03-31,9.98,$1.34,7.45
2021-12-31,7.49,$1.21,6.17
2021-09-30,8.55,$1.16,7.4
2021-06-30,7.45,$1.92,3.88
2021-03-31,5.94,$2.01,2.96
2020-12-31,4.47,$2.09,2.13
2020-09-30,4.02,$2.32,1.74
2020-06-30,4.17,$1.86,2.25
2020-03-31,2.96,$1.91,1.55
2019-12-31,7.82,$1.98,3.96
2019-09-30,8.5,$1.80,4.71
2019-06-30,9.25,$1.77,5.22
2019-03-31,10.31,$1.76,5.86
2018-12-31,8.87,$1.59,5.58
2018-09-30,10.2,$1.62,6.28
2018-06-30,10.17,$1.46,6.97
2018-03-31,8.95,$1.31,6.84
2017-12-31,9.54,$1.32,7.25
2017-09-30,9.05,$1.13,8.01
2017-06-30,8.07,$0.92,8.81
2017-03-31,8.31,$0.85,9.74
2016-12-31,9.31,$0.61,15.32
2016-09-30,8.69,$0.83,10.41
2016-06-30,7.43,$1.00,7.42
2016-03-31,6.6,$1.34,4.92
