Westrock Coffee Price to Free Cash Flow Ratio Historical Data,Westrock Coffee Price to Free Cash Flow Ratio Historical Data,Westrock Coffee Price to Free Cash Flow Ratio Historical Data,Westrock Coffee Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.52,,0.0
2024-12-31,6.42,$-1.77,0.0
2024-09-30,6.5,$-2.76,0.0
2024-06-30,10.23,$-2.99,0.0
2024-03-31,10.33,$-2.94,0.0
2023-12-31,10.21,$-2.83,0.0
2023-09-30,8.86,$-2.63,0.0
2023-06-30,10.87,$-1.88,0.0
2023-03-31,12.24,$-1.64,0.0
2022-12-31,13.36,$-2.39,0.0
2022-09-30,10.33,$-1.59,0.0
