Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data,Baxter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.44,,29.76
2024-12-31,29.16,$1.12,25.95
2024-09-30,37.78,$1.29,29.26
2024-06-30,33.03,$1.53,21.62
2024-03-31,42.2,$1.90,22.21
2023-12-31,37.91,$2.55,14.88
2023-09-30,36.71,$2.67,13.74
2023-06-30,44.0,$2.24,19.61
2023-03-31,38.9,$2.14,18.15
2022-12-31,48.53,$1.65,29.33
2022-09-30,51.0,$1.66,30.75
2022-06-30,60.51,$2.39,25.36
2022-03-31,72.77,$2.74,26.52
2021-12-31,80.29,$3.01,26.64
2021-09-30,74.96,$2.94,25.5
2021-06-30,74.77,$2.63,28.37
2021-03-31,78.06,$2.45,31.85
2020-12-31,74.04,$2.24,33.03
2020-09-30,73.97,$2.55,28.98
2020-06-30,78.97,$2.90,27.26
2020-03-31,74.26,$3.03,24.5
2019-12-31,76.28,$2.71,28.12
2019-09-30,79.58,$2.40,33.13
2019-06-30,74.33,$1.95,38.06
2019-03-31,73.58,$1.83,40.15
2018-12-31,59.41,$2.49,23.89
2018-09-30,69.39,$1.91,36.42
2018-06-30,66.3,$2.18,30.46
2018-03-31,58.24,$2.39,24.38
2017-12-31,57.74,$1.98,29.19
2017-09-30,55.92,$2.57,21.76
2017-06-30,53.81,$2.38,22.56
2017-03-31,45.97,$2.75,16.7
2016-12-31,39.2,$1.70,23.1
2016-09-30,41.96,$1.62,25.89
2016-06-30,39.75,$1.00,39.9
2016-03-31,36.01,$0.84,42.75
2015-12-31,33.34,$1.56,21.32
2015-09-30,28.62,$2.25,12.73
2015-06-30,32.84,$4.28,7.67
2015-03-31,31.92,$3.72,8.58
2014-12-31,33.9,$4.19,8.1
2014-09-30,32.96,$5.23,6.3
2014-06-30,32.97,$4.19,7.87
2014-03-31,33.32,$4.63,7.2
2013-12-31,31.27,$4.55,6.88
2013-09-30,29.32,$2.93,10.01
2013-06-30,30.7,$2.78,11.04
2013-03-31,31.96,$3.30,9.68
2012-12-31,29.15,$3.50,8.33
2012-09-30,26.17,$3.53,7.41
2012-06-30,22.9,$3.85,5.94
2012-03-31,25.59,$3.31,7.73
2011-12-31,21.06,$3.24,6.5
2011-09-30,23.73,$3.35,7.09
2011-06-30,25.09,$3.47,7.23
2011-03-31,22.48,$3.65,6.16
2010-12-31,21.04,$3.43,6.13
2010-09-30,19.71,$3.31,5.95
2010-06-30,16.68,$3.00,5.55
2010-03-31,23.72,$3.06,7.75
2009-12-31,23.79,$3.09,7.71
