ATN Price to Free Cash Flow Ratio Historical Data,ATN Price to Free Cash Flow Ratio Historical Data,ATN Price to Free Cash Flow Ratio Historical Data,ATN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.89,,0.0
2024-12-31,16.81,$-4.75,0.0
2024-09-30,32.34,$-4.92,0.0
2024-06-30,22.63,$-5.20,0.0
2024-03-31,30.95,$-4.56,0.0
2023-12-31,37.99,$-5.42,0.0
2023-09-30,30.58,$-5.19,0.0
2023-06-30,35.22,$-4.82,0.0
2023-03-31,39.16,$-4.92,0.0
2022-12-31,43.13,$-4.07,0.0
2022-09-30,36.55,$-2.33,0.0
2022-06-30,44.26,$-2.25,0.0
2022-03-31,37.33,$-1.81,0.0
2021-12-31,37.4,$-1.61,0.0
2021-09-30,43.67,$-2.08,0.0
2021-06-30,42.25,$-0.75,0.0
2021-03-31,45.45,$-0.68,0.0
2020-12-31,38.51,$0.69,55.94
2020-09-30,46.05,$1.80,25.63
2020-06-30,55.44,$2.53,21.92
2020-03-31,53.58,$0.97,55.01
2019-12-31,50.41,$0.95,53.09
2019-09-30,52.96,$-0.22,0.0
2019-06-30,52.23,$-1.43,0.0
2019-03-31,50.87,$-2.04,0.0
2018-12-31,64.33,$-3.94,0.0
2018-09-30,66.29,$-3.89,0.0
2018-06-30,47.24,$-2.55,0.0
2018-03-31,53.2,$-0.79,0.0
2017-12-31,49.17,$0.21,237.63
2017-09-30,46.75,$-0.86,0.0
2017-06-30,60.51,$-2.08,0.0
2017-03-31,61.95,$-2.35,0.0
2016-12-31,70.16,$-0.78,0.0
2016-09-30,56.71,$1.03,55.09
2016-06-30,67.5,$1.82,37.08
2016-03-31,65.51,$3.99,16.42
2015-12-31,67.3,$4.61,14.58
2015-09-30,63.35,$5.24,12.08
2015-06-30,58.93,$5.42,10.88
2015-03-31,58.8,$3.79,15.53
2014-12-31,57.18,$1.31,43.49
2014-09-30,45.41,$-12.83,0.0
2014-06-30,48.61,$-12.10,0.0
2014-03-31,54.98,$-13.19,0.0
2013-12-31,46.98,$-11.46,0.0
2013-09-30,43.09,$4.27,10.1
2013-06-30,40.84,$6.07,6.73
2013-03-31,39.49,$9.76,4.04
2012-12-31,29.88,$9.28,3.22
2012-09-30,34.74,$11.62,2.99
2012-06-30,27.11,$9.14,2.97
2012-03-31,29.03,$5.78,5.03
2011-12-31,30.98,$5.95,5.2
2011-09-30,25.75,$-1.39,0.0
2011-06-30,30.04,$-2.84,0.0
2011-03-31,28.96,$-1.38,0.0
2010-12-31,29.7,$-2.12,0.0
2010-09-30,37.72,$0.72,52.43
2010-06-30,31.64,$1.50,21.03
2010-03-31,34.12,$1.26,27.16
2009-12-31,41.73,$2.14,19.5
