Wheeler Real Estate Investment Trust Price to Free Cash Flow Ratio Historical Data,Wheeler Real Estate Investment Trust Price to Free Cash Flow Ratio Historical Data,Wheeler Real Estate Investment Trust Price to Free Cash Flow Ratio Historical Data,Wheeler Real Estate Investment Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.13,,0.0
2024-12-31,3.37,$599.54,0.01
2024-09-30,16.18,$243.28,0.07
2024-06-30,93.18,"$1,543.79",0.06
2024-03-31,678.24,"$1,886.77",0.36
2023-12-31,1318.03,"$1,836.00",0.72
2023-09-30,14169.6,"$2,069.44",6.85
2023-06-30,26611.2,$616.08,43.19
2023-03-31,54864.0,$32.74,1675.52
2022-12-31,60315.84,$33.60,1795.38
2022-09-30,56160.0,$24.28,2313.42
2022-06-30,109727.99,$1.88,58487.28
2022-03-31,99359.99,$1.86,53456.71
2021-12-31,83807.99,$2.28,36724.07
2021-09-30,127007.99,$2.30,55105.86
2021-06-30,218591.98,$2.22,98296.6
2021-03-31,161999.99,$2.18,74169.03
2020-12-31,119663.99,$1.86,64345.86
2020-09-30,131327.99,$1.59,82841.1
2020-06-30,75167.99,$1.48,50799.48
2020-03-31,43200.0,$1.52,28511.09
2019-12-31,70847.99,$1.67,42401.1
2019-09-30,66960.0,$1.78,37603.19
2019-06-30,60048.0,$2.04,29405.02
2019-03-31,64368.0,$2.39,26941.23
2018-12-31,38491.2,$2.46,15675.5
2018-09-30,184895.99,$2.44,75770.83
2018-06-30,174527.99,$2.07,84158.54
2018-03-31,154655.99,$2.18,71011.52
2017-12-31,431135.97,$2.41,179221.8
2017-09-30,483607.35,$2.61,185546.1
2017-06-30,414926.98,$2.65,156694.48
2017-03-31,543808.93,$2.15,252969.68
2016-12-31,518508.97,$1.26,411449.75
2016-09-30,517292.69,$1.45,355870.04
2016-06-30,441941.41,$1.59,277461.96
2016-03-31,346350.54,$1.18,294440.65
2015-12-31,512978.67,$0.59,873750.07
2015-09-30,491223.76,$0.02,29239509.74
2015-06-30,510713.41,$-0.92,0.0
2015-03-31,562790.21,$-1.16,0.0
2014-12-31,945093.26,$-0.60,0.0
2014-09-30,1064668.34,$-0.93,0.0
2014-06-30,1087171.23,$-0.46,0.0
2014-03-31,1025129.58,$-0.62,0.0
2013-12-31,933954.39,$-0.68,0.0
2013-09-30,911075.26,$-0.52,0.0
