Kontoor Brands Price to Free Cash Flow Ratio Historical Data,Kontoor Brands Price to Free Cash Flow Ratio Historical Data,Kontoor Brands Price to Free Cash Flow Ratio Historical Data,Kontoor Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,62.92,,10.24
2024-12-31,85.41,$6.15,13.9
2024-09-30,81.3,$8.40,9.68
2024-06-30,65.3,$6.52,10.02
2024-03-31,59.07,$6.93,8.52
2023-12-31,60.7,$5.61,10.83
2023-09-30,42.31,$3.17,13.37
2023-06-30,40.12,$1.03,38.91
2023-03-31,45.6,$-0.67,0.0
2022-12-31,37.34,$0.97,38.54
2022-09-30,31.03,$1.02,30.53
2022-06-30,30.41,$4.05,7.51
2022-03-31,37.24,$3.57,10.42
2021-12-31,45.63,$4.18,10.92
2021-09-30,44.09,$4.68,9.41
2021-06-30,49.41,$5.37,9.21
2021-03-31,42.25,$6.05,6.98
2020-12-31,35.02,$3.10,11.28
2020-09-30,20.72,$4.53,4.58
2020-06-30,15.25,$2.33,6.54
2020-03-31,16.41,$11.80,1.39
