Oppenheimer Holdings Price to Free Cash Flow Ratio Historical Data,Oppenheimer Holdings Price to Free Cash Flow Ratio Historical Data,Oppenheimer Holdings Price to Free Cash Flow Ratio Historical Data,Oppenheimer Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.18,,0.0
2024-12-31,64.09,$-10.09,0.0
2024-09-30,51.01,$-11.01,0.0
2024-06-30,47.6,$-6.14,0.0
2024-03-31,39.52,$-2.79,0.0
2023-12-31,40.75,$-3.08,0.0
2023-09-30,37.63,$3.14,11.98
2023-06-30,39.31,$8.75,4.49
2023-03-31,38.15,$7.78,4.9
2022-12-31,41.11,$3.82,10.76
2022-09-30,29.97,$-0.95,0.0
2022-06-30,31.83,$-4.32,0.0
2022-03-31,41.79,$4.23,9.87
2021-12-31,44.31,$16.16,2.74
2021-09-30,42.2,$16.48,2.56
2021-06-30,47.21,$-2.00,0.0
2021-03-31,37.1,$14.05,2.64
2020-12-31,29.02,$-4.43,0.0
2020-09-30,19.89,$-7.61,0.0
2020-06-30,19.32,$6.78,2.85
2020-03-31,17.41,$-13.88,0.0
2019-12-31,24.1,$4.99,4.83
2019-09-30,26.25,$4.51,5.83
2019-06-30,23.67,$7.61,3.11
2019-03-31,22.53,$14.39,1.57
2018-12-31,22.04,$11.37,1.94
2018-09-30,27.16,$9.06,3.0
2018-06-30,23.99,$4.40,5.45
2018-03-31,21.98,$-0.50,0.0
2017-12-31,22.78,$-1.59,0.0
2017-09-30,14.68,$-6.06,0.0
2017-06-30,13.78,$-7.70,0.0
2017-03-31,14.27,$-5.50,0.0
2016-12-31,15.42,$-5.43,0.0
2016-09-30,11.76,$2.85,4.13
2016-06-30,12.63,$4.29,2.95
2016-03-31,12.79,$-2.44,0.0
2015-12-31,13.98,$-1.85,0.0
2015-09-30,16.0,$-2.36,0.0
2015-06-30,20.9,$-3.00,0.0
2015-03-31,18.58,$6.42,2.89
2014-12-31,18.31,$5.19,3.53
2014-09-30,15.88,$-1.24,0.0
2014-06-30,18.72,$5.98,3.13
2014-03-31,21.78,$2.84,7.68
2013-12-31,19.16,$-1.23,0.0
2013-09-30,13.66,$1.62,8.42
2013-06-30,14.55,$-7.87,0.0
2013-03-31,14.8,$-6.32,0.0
2012-12-31,13.04,$-1.78,0.0
2012-09-30,11.96,$-0.83,0.0
2012-06-30,11.7,$4.95,2.36
2012-03-31,12.83,$-0.49,0.0
2011-12-31,11.85,$5.48,2.16
2011-09-30,11.73,$-1.69,0.0
2011-06-30,20.5,$-6.57,0.0
2011-03-31,24.26,$-4.22,0.0
2010-12-31,18.9,$-10.75,0.0
2010-09-30,20.07,$4.30,4.66
2010-06-30,17.12,$2.46,6.97
2010-03-31,18.16,$0.96,18.92
2009-12-31,23.55,$3.49,6.74
