Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,143.25,,20.27
2024-12-31,146.3,$7.07,20.7
2024-09-30,143.27,$7.29,19.65
2024-06-30,138.99,$6.83,20.35
2024-03-31,132.16,$7.78,16.99
2023-12-31,136.1,$7.91,17.21
2023-09-30,119.6,$7.29,16.4
2023-06-30,128.64,$6.46,19.9
2023-03-31,119.29,$4.83,24.69
2022-12-31,120.79,$4.13,29.24
2022-09-30,114.23,$5.48,20.85
2022-06-30,119.91,$6.14,19.52
2022-03-31,124.53,$5.98,20.82
2021-12-31,129.66,$5.80,22.37
2021-09-30,139.65,$4.34,32.2
2021-06-30,141.03,$4.39,32.15
2021-03-31,132.58,$6.20,21.39
2020-12-31,140.47,$6.57,21.37
2020-09-30,127.39,$6.48,19.65
2020-06-30,129.0,$6.40,20.14
2020-03-31,97.85,$5.62,17.42
2019-12-31,105.02,$5.90,17.79
2019-09-30,95.56,$5.31,18.01
2019-06-30,98.92,$4.76,20.78
2019-03-31,99.28,$4.67,21.27
2018-12-31,77.08,$4.71,16.37
2018-09-30,117.7,$4.32,27.24
2018-06-30,137.76,$4.91,28.07
2018-03-31,118.44,$5.08,23.31
2017-12-31,102.63,$4.39,23.36
2017-09-30,115.33,$5.38,21.42
2017-06-30,103.27,$5.59,18.47
2017-03-31,87.45,$4.63,18.87
2016-12-31,76.94,$5.16,14.92
2016-09-30,83.42,$4.28,19.51
2016-06-30,74.01,$3.94,18.79
2016-03-31,64.58,$4.16,15.53
2015-12-31,67.13,$2.95,22.74
2015-09-30,66.18,$2.23,29.73
2015-06-30,64.96,$2.78,23.38
2015-03-31,57.45,$2.99,19.21
2014-12-31,45.93,$3.31,13.88
2014-09-30,34.79,$3.37,10.31
2014-06-30,35.04,$2.76,12.68
2014-03-31,28.34,$1.95,14.56
2013-12-31,22.41,$1.80,12.48
2013-09-30,24.96,$0.74,33.83
2013-06-30,22.46,$0.67,33.61
2013-03-31,17.29,$0.70,24.82
2012-12-31,14.18,$0.76,18.66
2012-09-30,12.4,$0.99,12.49
2012-06-30,12.06,$0.44,27.51
2012-03-31,16.1,$0.39,41.3
2011-12-31,20.12,$0.37,54.94
2011-09-30,19.98,$0.08,257.77
2011-06-30,23.05,$0.36,63.72
2011-03-31,19.08,$0.79,24.12
2010-12-31,16.0,$0.80,20.05
2010-09-30,16.07,$0.42,38.45
2010-06-30,14.07,$0.81,17.42
2010-03-31,18.23,$0.25,74.04
2009-12-31,17.34,$-0.79,0.0
